PK,Rank,,,Artist,Title,Label,Wks On,Points,,,Spins,,,Dayparts,,,,,Impressions,,,,,Stations,,Avg. Station Rotations,,,,w/o OVN,,6am to 7pm,,Format By Format Rank,,,,,,,,,,,,
,LW,TW,,,,,,TW,LW,+/-,TW,LW,+/-,OVN,AMD,MID,PMD,EVE,TW,LW,+/-,rTW,rLW,On,New,On,TW,LW,+/-,Rank,TW,Rank,TW,AC,Hot AC,Country,Gospel,Top 40,Triple A,Active Rock,Alternative,Urban,R&B,Rhythmic,Dance,Big Picture
1,1,1,,NATE SMITH,World On Fire,RCA Nashville,30,35242,36331,-1089,9391,9700,-309,2429,1393,1983,1569,2017,41.903,43.031,-1.128,1,1,156,0,156,60.2,62.2,-2,1,6962,1,4945,-,-,1,-,315,-,-,-,-,-,-,-,23
2,2,2,Yes,CHRIS STAPLETON,White Horse,Mercury Nashville,27,29423,26851,2572,8162,7404,758,2208,1151,1680,1346,1777,34.758,31.117,3.641,2,4,156,0,156,52.3,47.5,4.9,2,5954,2,4177,-,-,2,-,1033,-,-,-,-,-,-,-,32
1,3,3,,JELLY ROLL,Save Me (with Lainey Wilson),Stoney Creek/BMG,20,25861,26831,-970,6976,7222,-246,1769,1060,1475,1176,1496,32.532,33.441,-0.909,3,2,154,0,154,45.3,46.9,-1.6,3,5207,3,3711,447,41,3,-,44,-,-,-,-,-,-,-,34
4,4,4,Yes,RILEY GREEN,Different Round Here f/L.Combs,BMLG,35,25471,24064,1407,7046,6647,399,2012,827,1487,1120,1600,27.948,26.167,1.781,4,5,156,0,156,45.2,42.6,2.6,4,5034,4,3434,-,-,4,-,305,-,-,-,-,-,-,-,36
5,6,5,Yes,LUKE COMBS,Where The Wild Things Are,River House/Columbia Nash,14,23648,23488,160,6492,6410,82,1955,745,1331,1060,1401,25.639,25.868,-0.229,7,6,156,0,156,41.6,41.1,0.5,5,4537,6,3136,-,-,5,-,621,-,-,-,-,-,-,-,43
6,9,6,Yes,WARREN ZEIDERS,Pretty Little Poison,Warner/WEA,26,23515,21705,1810,6526,5955,571,1997,757,1299,1043,1430,25.472,23.969,1.503,8,7,156,3,156,41.8,38.2,3.7,6,4529,7,3099,-,331,6,-,672,-,-,-,-,-,-,-,41
7,8,7,Yes,CHRIS JANSON,All I Need Is You,BMLG,46,22514,21936,578,6068,5953,115,1921,644,1235,933,1335,24.128,23.811,0.317,9,9,156,0,156,38.9,38.2,0.7,9,4147,10,2812,-,-,7,-,741,-,-,-,-,-,-,-,46
8,10,8,Yes,CODY JOHNSON,The Painter,CoJo/Warner/WMN,23,22418,20193,2225,6044,5358,686,1603,750,1318,997,1376,27.17,23.845,3.325,5,8,156,0,156,38.7,34.3,4.4,7,4441,8,3065,-,-,8,-,947,-,-,-,-,-,-,-,47
9,11,9,Yes,KANE BROWN,I Can Feel It,RCA Nashville,18,20282,19853,429,5431,5327,104,1558,609,1138,856,1270,23.02,23.171,-0.151,10,10,156,0,156,34.8,34.1,0.7,11,3873,12,2603,-,-,9,-,307,-,-,-,-,-,-,-,58
10,12,10,Yes,HARDY,TRUCK BED,Big Loud Rock/Big Loud,34,20268,18981,1287,5627,5253,374,1492,633,1200,945,1357,22.725,21.456,1.269,11,11,156,2,156,36.1,33.7,2.4,10,4135,11,2778,-,-,10,-,699,-,-,-,-,-,-,-,54
1,5,11,,DAN + SHAY,Save Me The Trouble,Warner/WAR,28,19486,23734,-4248,5100,6282,-1182,863,882,1194,888,1273,27.021,31.473,-4.452,6,3,153,0,153,32.7,40.3,-7.6,8,4237,9,2964,-,296,11,-,-,-,-,-,-,-,-,-,62
12,13,12,Yes,CHAYCE BECKHAM,23,Wheelhouse,42,17358,16443,915,4705,4443,262,1566,473,868,688,1110,17.643,17.014,0.629,13,12,156,0,156,30.2,28.5,1.7,12,3139,16,2029,-,-,12,-,928,-,-,-,-,-,-,-,67
13,14,13,Yes,CONNER SMITH,Creek Will Rise,Valory Music Co.,41,16376,16117,259,4441,4378,63,1460,432,815,667,1067,16.067,15.55,0.517,14,14,156,0,156,28.5,28.1,0.4,13,2981,19,1914,-,-,13,-,-,-,-,-,-,-,-,-,71
14,15,14,Yes,PARKER MCCOLLUM,Burn It Down,MCA Nashville,29,16189,15343,846,4290,4105,185,1426,432,779,683,970,17.845,16.34,1.505,12,13,155,0,155,27.7,26.5,1.2,14,2864,20,1894,-,-,14,-,752,-,-,-,-,-,-,-,74
15,17,15,Yes,THOMAS RHETT,Mamaw's House f/Morgan Wallen,Valory/Big Loud,16,13240,11328,1912,3719,3202,517,940,425,787,705,862,14.627,12.719,1.908,15,15,151,0,151,24.6,21.2,3.4,15,2779,18,1917,-,-,15,-,251,-,-,-,-,-,-,-,85
