PK,Rank,,,Artist,Title,Label,Wks On,Points,,,Spins,,,Dayparts,,,,,Impressions,,,,,Stations,,Avg. Station Rotations,,,,w/o OVN,,6am to 7pm,,Format By Format Rank,,,,,,,,,,,,
,LW,TW,,,,,,TW,LW,+/-,TW,LW,+/-,OVN,AMD,MID,PMD,EVE,TW,LW,+/-,rTW,rLW,On,New,On,TW,LW,+/-,Rank,TW,Rank,TW,AC,Hot AC,Country,Gospel,Top 40,Triple A,Active Rock,Alternative,Urban,R&B,Rhythmic,Dance,Big Picture
1,2,1,Yes,NATE SMITH,World On Fire,RCA Nashville,29,36318,32775,3543,9753,8804,949,2519,1475,2028,1605,2126,43.182,40.222,2.96,1,1,157,0,157,62.1,56.1,6,1,7234,1,5108,-,-,1,-,959,-,-,-,-,-,-,-,22
1,4,2,,JELLY ROLL,Save Me (with Lainey Wilson),Stoney Creek/BMG,19,26920,27468,-548,7276,7449,-173,1827,1092,1611,1236,1510,33.589,34.232,-0.643,2,3,155,1,155,46.6,47.8,-1.1,2,5449,2,3939,75,51,2,-,53,-,959,-,-,-,1828,-,32
3,5,3,Yes,CHRIS STAPLETON,White Horse,Mercury Nashville,26,26841,25134,1707,7457,6924,533,2104,886,1574,1235,1658,31.269,29.702,1.567,4,4,157,0,157,47.5,44.1,3.4,3,5353,3,3695,-,-,3,-,357,-,-,-,-,-,-,-,31
4,6,4,Yes,RILEY GREEN,Different Round Here f/L.Combs,BMLG,34,23999,22417,1582,6678,6198,480,1974,774,1398,1041,1491,26.246,24.529,1.717,5,6,157,0,157,42.5,39.5,3.1,5,4704,7,3213,-,-,4,-,1036,-,-,-,-,-,-,-,39
1,1,5,,DAN + SHAY,Save Me The Trouble,Warner/WAR,27,23720,34509,-10789,6332,9412,-3080,1147,1010,1469,1133,1573,31.6,37.735,-6.135,3,2,157,0,157,40.3,59.9,-19.6,4,5185,4,3612,-,222,5,-,1079,-,-,-,-,-,-,-,43
6,9,6,Yes,LUKE COMBS,Where The Wild Things Are,River House/Columbia Nash,13,23416,19563,3853,6437,5341,1096,1925,749,1328,1025,1410,25.934,23.329,2.605,6,7,157,0,157,41,34,7,7,4512,8,3102,-,-,6,-,953,-,-,-,-,-,-,-,41
1,3,7,,GEORGE BIRGE,Mind On You,RECORDS Nashville,43,23314,27485,-4171,6316,7556,-1240,1656,1002,1287,1003,1368,24.252,28.565,-4.313,7,5,155,1,155,40.2,48.1,-7.9,6,4660,5,3292,-,-,7,-,719,-,-,-,-,-,-,-,44
7,7,8,Yes,CHRIS JANSON,All I Need Is You,BMLG,45,21876,21014,862,5986,5737,249,1903,666,1199,957,1261,23.9,22.241,1.659,9,8,157,1,157,38.1,36.5,1.6,9,4083,10,2822,-,-,8,-,356,-,-,-,-,-,-,-,50
8,8,9,Yes,WARREN ZEIDERS,Pretty Little Poison,Warner/WEA,25,21624,20045,1579,5981,5485,496,1873,665,1189,985,1269,24.035,21.903,2.132,8,9,154,3,154,38.8,35.6,3.2,8,4108,9,2839,-,221,9,-,662,-,-,-,-,-,-,-,51
