PK,Rank,,,Artist,Title,Label,Wks On,Points,,,Spins,,,Dayparts,,,,,Impressions,,,,,Stations,,Avg. Station Rotations,,,,w/o OVN,,6am to 7pm,,Format By Format Rank,,,,,,,,,,,,
10,11,10,Yes,CODY JOHNSON,The Painter,CoJo/Warner/WMN,22,20152,17920,2232,5380,4799,581,1424,605,1178,944,1229,23.89,21,2.89,10,11,157,1,157,34.3,30.6,3.7,10,3956,11,2727,-,-,10,-,514,-,-,-,-,-,-,-,57
10,10,11,Yes,KANE BROWN,I Can Feel It,RCA Nashville,17,19809,18969,840,5349,5137,212,1510,565,1131,874,1269,23.216,21.661,1.555,11,10,157,0,157,34.1,32.7,1.4,11,3839,13,2570,-,-,11,-,1037,-,-,-,-,-,-,-,58
12,12,12,Yes,HARDY,TRUCK BED,Big Loud Rock/Big Loud,33,18976,17707,1269,5288,4911,377,1474,561,1095,867,1291,21.538,20.523,1.015,12,12,155,2,155,34.1,31.7,2.4,12,3814,15,2523,-,-,12,-,706,-,-,-,-,-,-,-,59
13,13,13,Yes,CHAYCE BECKHAM,23,Wheelhouse,41,16424,15703,721,4475,4247,228,1529,416,830,643,1057,17.098,16.324,0.774,13,13,157,1,157,28.5,27.1,1.5,14,2946,18,1889,-,-,13,-,705,-,-,-,-,-,-,-,68
13,14,14,Yes,CONNER SMITH,Creek Will Rise,Valory Music Co.,40,16140,15599,541,4411,4249,162,1462,407,819,647,1076,15.635,14.978,0.657,15,15,157,0,157,28.1,27.1,1,13,2949,19,1873,-,-,14,-,1030,-,-,-,-,-,-,-,70
15,15,15,Yes,PARKER MCCOLLUM,Burn It Down,MCA Nashville,28,15312,14292,1020,4131,3856,275,1372,424,680,675,980,16.402,15.437,0.965,14,14,156,2,156,26.5,24.7,1.8,15,2759,20,1779,-,-,15,-,255,-,-,-,-,-,-,-,77
16,16,16,Yes,JACKSON DEAN,Fearless,Big Machine,49,11952,11561,391,3305,3083,222,1394,274,461,385,791,10.987,10.536,0.451,19,17,156,5,156,21.2,19.8,1.4,19,1911,33,1120,-,-,16,-,679,-,-,-,-,-,-,-,93
17,19,17,Yes,THOMAS RHETT,Mamaw's House f/Morgan Wallen,Valory/Big Loud,15,11307,9871,1436,3216,2780,436,872,374,657,544,769,12.754,10.803,1.951,16,16,152,3,152,21.2,18.3,2.9,16,2344,25,1575,-,-,17,-,992,-,-,-,-,-,-,-,94
17,17,18,Yes,SCOTTY MCCREERY,Cab In A Solo,Triple Tigers,21,10908,10161,747,3073,2856,217,1069,299,523,354,828,10.787,9.724,1.063,20,21,157,0,157,19.6,18.2,1.4,18,2004,31,1176,-,-,18,-,718,-,-,-,-,-,-,-,95
19,20,19,Yes,CARLY PEARCE,We Don't Fight...f/C.Stapleton,Big Machine,30,10741,9669,1072,2875,2594,281,1124,255,435,382,679,10.401,9.743,0.658,22,19,156,3,156,18.4,16.6,1.8,23,1751,34,1072,-,-,19,-,846,-,-,-,-,-,-,-,103
18,18,20,Yes,GABBY BARRETT,Glory Days,Warner/WAR,32,10674,9954,720,2956,2751,205,1070,254,456,347,829,9.997,9.13,0.867,23,23,156,2,156,18.9,17.6,1.3,20,1886,35,1057,-,-,20,-,845,-,-,-,-,-,-,-,99
21,21,21,Yes,LAINEY WILSON,Wildflowers And Wild Horses,Broken Bow,8,10574,9375,1199,2910,2522,388,886,277,457,397,893,11.533,10.471,1.062,17,18,155,2,155,18.7,16.2,2.5,17,2024,32,1131,-,-,21,-,-,-,-,-,-,-,-,-,102
22,22,22,Yes,JORDAN DAVIS,Tucson Too Late,MCA Nashville,20,10549,9088,1461,2843,2473,370,1045,294,428,324,752,10.508,9.586,0.922,21,22,153,1,153,18.6,16.2,2.4,22,1798,37,1046,-,-,22,-,903,-,-,-,-,-,-,-,105
23,24,23,Yes,MORGAN WALLEN,Man Made A Bar f/Eric Church,Big Loud/EMI/Mercury,8,9865,8604,1261,2537,2159,378,710,270,419,362,776,11.114,9.743,1.371,18,20,155,3,155,16.4,13.9,2.4,21,1827,36,1051,-,-,23,-,755,-,-,-,-,-,-,-,122
24,25,24,Yes,TYLER HUBBARD,Back Then Right Now,EMI Nashville,18,8883,8350,533,2504,2353,151,839,251,354,320,740,9.232,8.386,0.846,24,24,149,0,149,16.7,15.7,1,24,1665,39,925,-,-,24,-,891,-,-,-,-,-,-,-,124
21,23,25,Yes,BROTHERS OSBORNE,Nobody's Nobody,EMI Nashville,38,8873,8942,-69,2524,2521,3,986,218,289,335,696,7.07,7.212,-0.142,27,27,149,2,149,16.7,16.7,0,25,1538,41,842,-,219,25,-,666,-,-,-,-,-,-,-,123
26,26,26,Yes,CARRIE UNDERWOOD,Out Of That Truck,Capitol Nashville,30,8304,7818,486,2205,2065,140,877,174,283,312,559,7.771,7.312,0.459,26,26,147,9,147,15,14,1,27,1328,47,769,-,-,26,-,902,-,-,-,-,-,-,-,137
27,27,27,Yes,KENNY CHESNEY,Take Her Home,Warner Nashville/WEA,10,8149,7670,479,2173,2040,133,818,163,309,263,620,8.225,7.439,0.786,25,25,155,2,155,14,13.2,0.9,26,1355,49,735,-,-,27,-,524,-,-,-,-,-,-,-,142
28,28,28,Yes,MEGAN MORONEY,I'm Not Pretty,Columbia/Columbia Nash,21,6947,6923,24,1911,1904,7,712,134,221,202,642,5.75,5.997,-0.247,29,29,150,7,150,12.7,12.6,0,29,1199,58,557,-,-,28,-,727,-,-,-,-,-,-,-,155
29,30,29,Yes,OLD DOMINION,Can't Break Up Now f/M.Moroney,Columbia Nashville,15,6921,6230,691,1909,1676,233,822,130,242,178,537,6.931,6.749,0.182,28,28,152,20,152,12.5,11,1.5,31,1087,59,550,-,-,29,-,-,-,-,-,-,-,-,-,156
29,29,30,Yes,ZACH BRYAN,I Remember... f/K. Musgraves,Warner/WAR,18,6609,6245,364,1816,1729,87,642,161,313,266,434,5.6,5.093,0.507,30,31,142,10,142,12.5,11.9,0.6,30,1174,48,740,105,21,30,-,32,14,-,738,-,-,-,-,69
31,31,31,Yes,SAM HUNT,Outskirts,MCA Nashville,22,6268,6076,192,1735,1702,33,672,116,199,191,557,5.546,5.13,0.416,32,30,145,8,145,11.7,11.5,0.2,32,1063,64,506,-,-,31,-,-,-,-,-,-,-,-,-,171
32,32,32,Yes,CHASE MATTHEW,Love You Again,Warner/WAR,19,6065,5879,186,1719,1674,45,697,134,217,180,491,4.303,4.094,0.209,37,36,143,9,143,12,11.7,0.3,33,1022,61,531,-,-,32,-,775,-,-,-,-,-,-,-,173
33,33,33,Yes,ASHLEY COOKE,your place,Big Loud,4,5914,5034,880,1648,1361,287,323,127,368,319,511,5.573,4.849,0.724,31,32,120,31,120,13.4,11.1,2.3,28,1325,43,814,-,-,33,-,761,-,-,-,-,-,-,-,181
34,35,34,Yes,JASON ALDEAN,Let Your Boys Be Country,Macon Music/Broken Bow,6,4989,4409,580,1329,1138,191,442,62,317,232,276,4.864,4.293,0.571,33,35,106,9,106,12.4,10.6,1.8,34,887,56,611,-,-,34,-,-,-,-,-,-,-,-,-,239
34,34,35,Yes,DILLON CARMICHAEL,Drinkin' Problems,Riser House,24,4672,4656,16,1348,1336,12,624,71,147,122,384,2.618,2.574,0.044,40,39,142,5,142,9.5,9.4,0.1,36,724,76,340,-,-,35,-,-,-,-,-,-,-,-,-,234
36,36,36,Yes,BAILEY ZIMMERMAN,Where It Ends,Warner/WEA/Elektra,13,4495,4230,265,1233,1201,32,466,94,188,155,330,4.583,4.299,0.284,34,34,101,2,101,12.2,11.9,0.3,35,767,69,437,-,-,36,-,-,-,-,-,-,-,-,-,255
30,38,37,Yes,GARTH BROOKS & RONNIE DUNN,Rodeo Man,Big Machine,10,4380,4068,312,1192,1090,102,517,58,102,97,418,2.249,2.11,0.139,43,43,135,8,135,8.8,8.1,0.8,37,675,86,257,-,-,37,-,544,-,-,-,-,-,-,-,267
38,39,38,Yes,CHRIS YOUNG,Young Love & Saturday Nights,RCA Nashville,14,4311,3992,319,1081,1000,81,430,82,150,156,263,4.342,4.515,-0.173,36,33,88,10,88,12.3,11.4,0.9,38,651,71,388,-,-,38,-,-,-,-,-,-,-,-,-,308
39,40,39,Yes,JON PARDI & LUKE BRYAN,Cowboys And Plowboys,Capitol Nashville,13,4109,3839,270,1026,974,52,483,51,132,100,260,4.345,4.025,0.32,35,37,109,5,109,9.4,8.9,0.5,42,543,82,283,-,-,39,-,-,-,-,-,-,-,-,-,329
40,43,40,Yes,BRYAN MARTIN,We Ride,Avg Joes/New Revolution,12,4086,3611,475,1053,948,105,469,57,128,113,286,3.083,2.535,0.548,39,40,82,1,82,12.7,11.4,1.3,39,584,80,298,-,-,40,-,-,-,-,-,-,-,-,-,318
39,41,41,Yes,MICHAEL RAY,Spirits And Demons f/M.Patrick,Warner/WEA/Riser House,14,3914,3784,130,1078,1052,26,521,56,100,79,322,2.141,2.086,0.055,44,44,118,9,118,9.1,8.8,0.2,41,557,91,235,-,-,41,-,-,-,-,-,-,-,-,-,309
42,42,42,,COREY KENT,Something's Gonna Kill Me,Combustion/RCA Nashville,18,3664,3729,-65,952,965,-13,443,45,120,96,248,3.617,3.726,-0.109,38,38,85,6,85,10.7,10.8,-0.1,43,509,84,261,-,-,42,-,-,-,-,-,-,-,-,-,360
43,45,43,Yes,PARMALEE,Gonna Love You,Stoney Creek,8,3385,3210,175,1029,989,40,451,61,140,121,256,2.265,2.121,0.144,42,42,92,8,92,11.1,10.6,0.4,40,578,78,322,-,-,43,-,-,-,-,-,-,-,-,-,328
44,46,44,Yes,BRETT YOUNG,Dance With You,BMLG,10,2851,2799,52,816,814,2,437,41,77,74,187,1.536,1.447,0.089,45,45,88,2,88,9,8.9,0,44,379,94,192,-,-,44,-,-,-,-,-,-,-,-,-,441
39,47,45,Yes,JUSTIN MOORE,This Is My Dirt,Valory Music Co.,7,2651,2649,2,716,707,9,384,29,49,44,210,2.465,2.463,0.002,41,41,94,4,94,7.5,7.4,0.1,46,332,105,122,-,-,45,-,934,-,-,-,-,-,-,-,511
46,48,46,Yes,LADY A,Love You Back,BMLG,4,2584,2375,209,703,655,48,361,16,36,33,257,1.044,0.908,0.136,49,50,95,6,95,7.3,6.8,0.5,45,342,115,85,-,-,46,-,-,-,-,-,-,-,-,-,523
47,49,47,Yes,CHRIS LANE,Find Another Bar,Red Street,3,2198,2152,46,627,619,8,343,20,42,40,182,1.409,1.434,-0.025,46,46,77,2,77,8,7.9,0.1,50,284,111,102,-,-,47,-,-,-,-,-,-,-,-,-,628
48,51,48,Yes,JOE NICHOLS,Brokenhearted,Quartz Hill,1,2112,1983,129,650,610,40,393,28,45,37,147,0.86,0.829,0.031,53,51,71,6,71,8.9,8.4,0.5,51,257,108,110,-,-,48,-,-,-,-,-,-,-,-,-,591
49,50,49,Yes,TYLER CHILDERS,In Your Love,Hickman Holler/RCA,2,2081,1989,92,700,653,47,372,25,66,61,176,0.957,0.976,-0.019,51,49,75,7,75,9.3,8.7,0.6,47,328,100,152,-,-,49,-,-,-,-,137,-,-,-,-,338
50,52,50,Yes,DUSTIN LYNCH,Chevrolet f/Jelly Roll,Broken Bow,1,2078,1967,111,628,583,45,309,27,81,71,140,1.091,1.023,0.068,48,48,65,2,65,9,8.3,0.6,48,319,97,179,-,-,50,-,-,-,-,-,-,-,-,-,626
51,53,51,Yes,DREW BALDRIDGE,She's Somebody's Daughter,Lyric Ridge,-,1836,1832,4,615,614,1,321,28,52,50,164,0.713,0.747,-0.034,54,54,74,2,74,8.1,8.1,0,49,294,104,130,-,-,51,-,-,-,-,-,-,-,-,-,650
52,55,52,Yes,HAILEY WHITTERS,I'm In Love,Big Loud,-,1719,1647,72,485,463,22,259,17,44,39,126,0.925,0.814,0.111,52,52,70,7,70,6.8,6.5,0.3,54,226,113,100,-,-,52,-,-,-,-,-,-,-,-,-,866
53,152,53,Yes,ZACH TOP,Sounds Like The Radio,Leo33,-,1632,34,1598,461,11,450,211,38,47,58,107,1.023,0.015,1.008,50,150,69,65,69,6.7,0.2,6.5,52,250,101,143,-,-,53,-,-,-,-,-,-,-,-,-,917
52,54,54,,TOBY KEITH,Don't Let The Old Man In,Show Dog/BMLGR,-,1610,1714,-104,492,522,-30,308,9,16,11,148,0.497,0.578,-0.081,61,58,80,1,80,4.8,5.1,-0.3,56,184,141,36,-,-,54,-,-,-,-,-,-,-,-,-,851
55,57,55,,HUNTERGIRL,Ain't About You,Wheelhouse,-,1577,1580,-3,505,510,-5,306,15,41,31,112,0.583,0.634,-0.051,57,55,73,3,73,6.8,6.9,-0.1,55,199,114,87,-,-,55,-,-,-,-,-,-,-,-,-,824
56,61,56,Yes,MATT STELL,Breakin' In Boots,RECORDS Nashville,-,1425,1105,320,446,358,88,276,16,14,29,111,0.54,0.373,0.167,58,67,63,17,63,7,5.6,1.4,58,170,125,59,-,-,56,-,-,-,-,-,-,-,-,-,941
53,56,57,,HIXTAPE,Pickup Man f/Post Malone ...,Big Loud/Mercury/Republic,-,1388,1594,-206,355,429,-74,122,26,41,35,131,1.127,1.402,-0.275,47,47,71,0,71,4.3,5.2,-0.9,53,233,112,102,-,-,57,-,749,-,-,-,-,-,-,-,1185
58,59,58,Yes,RYAN LARKINS,King Of Country Music,Red Street,-,1306,1193,113,378,334,44,221,22,29,28,78,0.602,0.598,0.004,56,56,58,10,58,6,5.3,0.7,59,157,117,79,-,-,58,-,-,-,-,-,-,-,-,-,1111
58,58,59,Yes,IAN MUNSICK,Long Live Cowgirls,Warner/WEA,-,1263,1254,9,338,315,23,161,14,33,24,106,0.689,0.76,-0.071,55,53,37,0,37,8.4,7.9,0.6,57,177,120,71,-,-,59,-,-,-,-,-,-,-,-,-,1231
60,66,60,Yes,DYLAN MARLOWE & DYLAN SCOTT,Boys Back Home,Columbia Nash/Curb/PIA,-,1259,998,261,359,277,82,213,16,29,25,76,0.516,0.451,0.065,59,60,50,7,50,5.8,4.5,1.3,60,146,121,70,-,-,60,-,-,-,-,-,-,-,-,-,1171
61,65,61,Yes,NEON UNION,This Side Of The Dirt,Red Street,-,1192,1019,173,370,307,63,233,11,22,15,89,0.382,0.364,0.018,67,68,48,7,48,7.6,6.3,1.3,62,137,130,48,-,-,61,-,-,-,-,-,-,-,-,-,1130
62,64,62,Yes,RUNAWAY JUNE,Make Me Wanna Smoke,Quartz Hill,-,1114,1034,80,353,316,37,215,13,26,28,71,0.466,0.457,0.009,64,59,41,3,41,8.6,7.7,0.9,61,138,123,67,-,-,62,-,-,-,-,-,-,-,-,-,1191
56,62,63,Yes,LAUREN ALAINA,Thicc As Thieves,Big Loud,-,1076,1073,3,328,327,1,203,10,22,16,77,0.389,0.38,0.009,66,66,45,1,45,7,7,0,63,125,131,48,-,-,63,-,-,-,-,-,-,-,-,-,1267
60,60,64,,RANDY HOUSER,Cancel,Magnolia Music,-,1068,1132,-64,354,372,-18,251,8,14,14,67,0.33,0.384,-0.054,69,65,46,0,46,7.7,8.1,-0.4,66,103,142,36,-,-,64,-,-,-,-,-,-,-,-,-,1187
65,67,65,,ANNE WILSON,Rain In The Rearview,Sparrow/EMI Nashville,-,817,857,-40,272,291,-19,169,7,19,14,63,0.281,0.29,-0.009,71,70,36,1,36,6.2,6.6,-0.4,65,103,136,40,-,-,65,-,-,-,-,-,-,-,-,-,1500
66,68,66,Yes,MADDIE & TAE,Heart They Didn't Break,Mercury Nashville,-,801,792,9,270,272,-2,172,6,20,14,58,0.331,0.329,0.002,68,69,35,2,35,7.5,7.6,-0.1,69,98,137,40,-,-,66,-,-,-,-,-,-,-,-,-,1510
48,63,67,,HANNAH ELLIS,Wine Country,Curb,2,699,1064,-365,226,334,-108,124,10,25,15,52,0.324,0.442,-0.118,70,61,39,1,39,4.7,7,-2.3,67,102,129,50,-,-,67,-,-,-,-,-,-,-,-,-,1735
68,74,68,Yes,JELLY ROLL,Halfway To Hell,Stoney Creek/BMG,-,507,312,195,155,82,73,44,12,32,28,39,0.485,0.394,0.091,62,64,21,11,21,5.3,2.8,2.5,64,111,119,72,478,466,68,-,1118,-,-,-,-,-,1794,-,2301
69,71,69,Yes,CAROLINE JONES/ZAC BROWN BAND,Million Little Bandaids,True To The Song,-,501,473,28,211,202,9,112,9,15,16,59,0.116,0.12,-0.004,85,83,28,0,28,7.3,7,0.3,68,99,138,40,-,-,69,-,-,-,-,-,-,-,-,-,1829
70,72,70,Yes,ANNIE BOSKO,Neon Baby,Stone Country,-,448,434,14,156,151,5,102,5,10,14,25,0.097,0.071,0.026,88,96,25,2,25,6.2,6,0.2,72,54,147,29,-,-,70,-,-,-,-,-,-,-,-,-,2285
59,69,71,,JOSH ROSS,Trouble,Mercury Nashville,-,434,682,-248,134,205,-71,85,4,8,8,29,0.133,0.288,-0.155,83,71,30,3,30,2.6,4,-1.4,73,49,156,20,-,-,71,-,-,-,-,-,-,-,-,-,2537
72,77,72,Yes,KELSEY HART,Life With You,Curb,-,399,266,133,134,70,64,93,6,6,13,16,0.035,0.011,0.024,117,162,21,12,21,6.1,3.2,2.9,79,41,150,25,-,-,72,-,-,-,-,-,-,-,-,-,2531
73,112,73,Yes,ELI YOUNG BAND/GEORGE BIRGE,Amy's Back In Austin,FOUR17 Ent.,-,337,74,263,106,22,84,19,62,19,0,6,0.43,0.116,0.314,65,84,53,35,53,1.9,0.4,1.5,70,87,116,81,-,-,73,-,-,-,-,-,-,-,-,-,2931
72,75,74,Yes,JAY ALLEN,No Present Like The Time,ONErpm/16camino,-,334,290,44,122,99,23,90,5,4,5,18,0.057,0.037,0.02,106,112,19,4,19,6.4,5.2,1.2,82,32,166,14,-,-,74,-,-,-,-,-,-,-,-,-,2682
75,76,75,Yes,CODY JOHNSON,Dirt Cheap,CoJo/Warner/WMN,-,332,280,52,53,38,15,10,8,12,12,11,0.466,0.408,0.058,63,63,5,2,5,8.8,6.3,2.5,78,43,145,32,-,-,75,-,-,-,-,-,-,-,-,-,-
64,70,76,,DYLAN SCHNEIDER,Ain't Missin' You,Wheelhouse,-,278,576,-298,98,214,-116,60,7,9,6,16,0.028,0.1,-0.072,129,88,15,1,15,3.6,7.9,-4.3,80,38,153,22,-,-,76,-,-,-,-,-,-,-,-,-,-
77,-,77,Yes,GEORGE BIRGE,Cowboy Songs,RECORDS Nashville,-,223,0,223,76,0,76,19,57,0,0,0,0.26,0,0.26,72,318,38,38,38,2,0,2,71,57,127,57,-,-,77,-,-,-,-,-,-,-,-,-,-
78,130,78,Yes,ERIC BURGETT,But A Beer Can,Bow To Stern,-,217,54,163,60,15,45,60,0,0,0,0,0.041,0.01,0.031,111,165,15,0,15,4,1,3,563,0,494,0,-,-,78,-,-,-,-,-,-,-,-,-,-
79,132,79,Yes,CALEB LEE HUTCHINSON,Silverado,Country Reborn,-,217,54,163,60,15,45,60,0,0,0,0,0.041,0.01,0.031,112,166,15,0,15,4,1,3,547,0,495,0,-,-,79,-,-,-,-,-,-,-,-,-,-
54,81,80,Yes,THOMPSON SQUARE,Without You,Quartz Hill,-,216,185,31,34,32,2,12,2,6,4,10,0.164,0.164,0,81,78,4,0,4,6.8,6.4,0.4,88,22,170,12,-,-,80,-,-,-,-,-,-,-,-,-,-
81,104,81,Yes,CATIE OFFERMAN,OK Cowboy,MCA Nashville,-,185,98,87,37,14,23,7,22,1,2,5,0.218,0.08,0.138,74,94,24,21,24,1.5,0.6,1,83,30,151,25,-,-,81,-,-,-,-,-,-,-,-,-,-
10,73,82,,KEITH URBAN,Brown Eyes Baby,Capitol Nashville,48,181,324,-143,31,68,-37,9,5,7,4,6,0.211,0.411,-0.2,76,62,10,0,10,0.9,2,-1.1,86,22,161,16,-,-,82,-,-,-,-,-,-,-,-,-,-
80,91,83,Yes,CODY JOHNSON,That's Texas,CoJo/Warner/WMN,-,174,139,35,28,22,6,5,4,8,3,8,0.215,0.196,0.019,75,75,2,1,2,14,11,3,85,23,163,15,-,-,83,-,-,-,-,-,-,-,-,-,-
84,268,84,Yes,KYLIE MORGAN,Making It Up As I Go,EMI Nashville,-,172,7,165,47,2,45,0,2,0,0,45,0.084,0.009,0.075,93,171,47,47,47,1,0,0.9,74,47,234,2,-,-,84,-,-,-,-,-,-,-,-,-,-
79,267,85,Yes,MAGGIE ROSE,Underestimate Me,Big Loud,-,172,7,165,47,2,45,0,2,0,0,45,0.084,0.009,0.075,94,173,47,47,47,1,0,0.9,76,47,235,2,-,-,85,-,-,-,-,-,-,-,-,-,-
86,269,86,Yes,ABBEY CONE,Talk Of The Town,Tiny Horse Music,-,172,7,165,47,2,45,0,2,0,0,45,0.084,0.009,0.075,91,168,47,47,47,1,0,0.9,75,47,236,2,-,-,86,-,-,-,-,-,-,-,-,-,-
80,80,87,,AUSTIN SNELL,Pray All The Way Home,River House/WMN,-,168,222,-54,46,61,-15,45,0,0,0,1,0.033,0.043,-0.01,121,109,15,0,15,3.1,4.1,-1,516,1,496,0,-,-,87,-,-,-,-,-,-,-,-,-,-
72,88,88,Yes,COLE SWINDELL,How Is She,Warner/WMN,-,167,157,10,31,29,2,8,4,8,5,6,0.205,0.196,0.009,77,76,1,0,1,31,29,2,84,23,159,17,-,-,88,-,-,-,-,-,-,-,-,-,-
89,99,89,Yes,ALISON NICHOLS,Hoops,Alison Nichols,-,163,108,55,45,30,15,45,0,0,0,0,0.031,0.02,0.011,125,137,15,0,15,3,2,1,559,0,497,0,-,-,89,-,-,-,-,-,-,-,-,-,-
83,97,90,Yes,RACHEL LIPSKY,Black Magic,Riot South,-,163,108,55,45,30,15,45,0,0,0,0,0.031,0.02,0.011,124,135,15,0,15,3,2,1,545,0,498,0,-,-,90,-,553,-,-,-,-,-,-,-,-
86,86,91,Yes,TREY LEWIS,Always You,River House Artists,-,163,163,0,45,45,0,45,0,0,0,0,0.031,0.031,0,123,117,15,0,15,3,3,0,538,0,499,0,-,-,91,-,-,-,-,-,-,-,-,-,-
82,85,92,Yes,RANDALL FOWLER,Two Woman Man,Reviver,-,163,163,0,45,45,0,45,0,0,0,0,0.031,0.031,0,122,116,15,0,15,3,3,0,553,0,500,0,-,-,92,-,-,-,-,-,-,-,-,-,-
93,-,93,Yes,CHANCEY WILLIAMS,A Cowboy Who Would,Younger Brothers Records,-,158,0,158,44,0,44,43,1,0,0,0,0.034,0,0.034,119,562,16,16,16,2.8,0,2.8,533,1,286,1,-,-,93,-,-,-,-,-,-,-,-,-,-
83,89,94,Yes,DYLAN GOSSETT,Coal,Big Loud/Mercury/Republic,-,149,149,0,18,18,0,9,0,0,1,8,0.074,0.069,0.005,98,98,1,0,1,18,18,0,113,9,287,1,-,-,94,-,-,61,-,-,-,-,-,-,-
87,101,95,Yes,WYATT FLORES,West Of Tulsa,Island,-,148,104,44,20,14,6,9,0,0,1,10,0.071,0.059,0.012,99,103,2,0,2,10,7,3,104,11,288,1,-,-,95,-,-,254,-,-,-,-,-,-,-
68,79,96,,MICKEY GUYTON,Nothing Compares To..f/K.Brown,Capitol Nashville,-,148,237,-89,36,68,-32,26,3,3,0,4,0.015,0.02,-0.005,169,134,9,0,9,3.3,6.2,-2.9,108,10,194,6,-,-,96,-,-,-,-,-,-,-,-,-,-
69,78,97,,TAYLOR SWIFT,Mean (Taylor's Version),Republic,-,144,240,-96,30,51,-21,8,3,9,5,5,0.186,0.249,-0.063,78,72,13,2,13,1.3,2.2,-0.9,89,22,160,17,-,-,97,-,-,-,-,-,-,-,-,-,-
94,94,98,Yes,RED CLAY STRAYS,Wondering Why,---,-,140,126,14,23,20,3,1,2,9,8,3,0.251,0.226,0.025,73,73,2,1,2,11.5,10,1.5,87,22,157,19,-,-,98,-,-,17,-,-,-,-,-,-,1151
99,-,99,Yes,NATE SMITH,Heart Shaped Box,RCA Nashville,-,140,0,140,45,0,45,0,38,0,0,7,0.183,0,0.183,79,518,45,45,45,1,0,1,77,45,139,38,-,-,99,-,-,-,-,-,-,-,-,-,-
48,92,100,Yes,EASTON CORBIN,Marry That Girl,Stone Country,8,136,131,5,38,38,0,28,1,3,1,5,0.022,0.022,0,135,128,9,1,9,3.8,3.8,0,109,10,199,5,-,-,100,-,-,-,-,-,-,-,-,-,-
91,93,101,Yes,TAYLOR SWIFT,Mine (Taylor's Version),Republic,-,118,130,-12,23,21,2,5,5,5,6,2,0.151,0.213,-0.062,82,74,7,2,7,3.3,3,0.3,93,18,162,16,70,300,101,-,-,-,-,-,-,-,-,-,-
102,111,102,Yes,TIM MCGRAW,One Bad Habit,Big Machine,-,116,74,42,28,14,14,13,3,2,3,7,0.075,0.065,0.01,96,100,13,9,13,1.6,0.8,0.8,99,15,186,8,-,-,102,-,-,-,-,-,-,-,-,-,-
