PK,Rank,,,Artist,Title,Label,Wks On,Points,,,Spins,,,Dayparts,,,,,Impressions,,,,,Stations,,Avg. Station Rotations,,,,w/o OVN,,6am to 7pm,,Format By Format Rank,,,,,,,,,,,,
,LW,TW,,,,,,TW,LW,+/-,TW,LW,+/-,OVN,AMD,MID,PMD,EVE,TW,LW,+/-,rTW,rLW,On,New,On,TW,LW,+/-,Rank,TW,Rank,TW,AC,Hot AC,Country,Gospel,Top 40,Triple A,Active Rock,Alternative,Urban,R&B,Rhythmic,Dance,Big Picture
1,2,1,Yes,WARREN ZEIDERS,Pretty Little Poison,Warner/WEA,31,34717,30300,4417,9448,8268,1180,2650,1300,1929,1495,2074,40.109,36.44,3.669,1,1,157,0,157,60.2,52.7,7.5,1,6798,1,4724,-,-,1,-,767,-,-,-,-,-,-,-,22
2,3,2,Yes,CODY JOHNSON,The Painter,CoJo/Warner/WMN,28,29095,27788,1307,7866,7454,412,2136,962,1710,1326,1732,35.041,33.084,1.957,2,3,157,0,157,50.1,47.5,2.6,2,5730,3,3998,-,-,2,-,766,-,-,-,-,-,-,-,28
3,4,3,Yes,KANE BROWN,I Can Feel It,RCA Nashville,23,26482,24903,1579,7138,6700,438,2066,854,1490,1155,1573,31.201,29.341,1.86,3,4,157,0,157,45.5,42.7,2.8,3,5072,5,3499,-,-,3,-,1058,-,-,-,-,-,-,-,37
4,5,4,Yes,HARDY,TRUCK BED,Big Loud Rock/Big Loud,39,25586,24651,935,6950,6711,239,1972,844,1446,1140,1548,30.598,27.463,3.135,4,5,157,0,157,44.3,42.7,1.5,5,4978,6,3430,-,-,4,-,754,-,-,-,-,-,-,-,42
5,6,5,Yes,THOMAS RHETT,Mamaw's House f/Morgan Wallen,Valory/Big Loud,21,24666,23588,1078,6892,6569,323,1910,844,1485,1184,1469,27.631,26.346,1.285,5,6,155,0,155,44.5,42.4,2.1,4,4982,4,3513,-,-,5,-,1062,-,-,-,-,-,-,-,43
6,8,6,Yes,CHAYCE BECKHAM,23,Wheelhouse,47,20617,18818,1799,5736,5156,580,1953,608,1108,843,1224,21.354,20.428,0.926,9,9,157,0,157,36.5,32.8,3.7,8,3783,11,2559,-,-,6,-,1014,-,-,-,-,-,-,-,49
7,7,7,Yes,PARKER MCCOLLUM,Burn It Down,MCA Nashville,34,19908,18919,989,5380,5064,316,1592,584,1117,895,1192,22.3,21.375,0.925,7,7,157,0,157,34.3,32.3,2,7,3788,9,2596,-,-,7,-,556,-,-,-,-,-,-,-,54
8,9,8,Yes,MORGAN WALLEN,Man Made A Bar f/Eric Church,Big Loud/EMI/Mercury,14,18985,18269,716,5076,4852,224,1341,650,1045,814,1226,21.814,20.797,1.017,8,8,156,1,156,32.5,31.1,1.4,9,3735,13,2509,-,-,8,-,-,-,-,-,-,-,-,-,57
1,1,9,,LUKE COMBS,Where The Wild Things Are,River House/Columbia Nash,19,18822,32572,-13750,5024,8920,-3896,1175,735,1087,846,1181,23.796,34.033,-10.237,6,2,154,0,154,32,56.8,-24.8,6,3849,8,2668,-,-,9,-,598,-,-,-,-,-,-,-,60
10,10,10,Yes,CONNER SMITH,Creek Will Rise,Valory Music Co.,46,17447,17288,159,4767,4656,111,1556,442,927,694,1148,17.557,17.611,-0.054,13,10,157,0,157,30.4,29.7,0.7,10,3211,16,2063,-,-,10,-,347,-,-,-,-,-,-,-,65
