PK,Rank,,,Artist,Title,Label,Wks On,Points,,,Spins,,,Dayparts,,,,,Impressions,,,,,Stations,,Avg. Station Rotations,,,,w/o OVN,,6am to 7pm,,Format By Format Rank,,,,,,,,,,,,
,LW,TW,,,,,,TW,LW,+/-,TW,LW,+/-,OVN,AMD,MID,PMD,EVE,TW,LW,+/-,rTW,rLW,On,New,On,TW,LW,+/-,Rank,TW,Rank,TW,AC,Hot AC,Country,Gospel,Top 40,Triple A,Active Rock,Alternative,Urban,R&B,Rhythmic,Dance,Big Picture
1,5,1,Yes,TIM MCGRAW,Standing Room Only,Big Machine,37,33143,24051,9092,9241,6830,2411,2683,1300,1785,1436,2037,40.073,28.606,11.467,1,6,158,0,158,58.5,43.2,15.3,1,6558,1,4521,-,-,1,-,681,-,-,-,-,-,-,-,25
2,4,2,Yes,JELLY ROLL,Save Me (with Lainey Wilson),Stoney Creek/BMG,11,28536,25873,2663,8041,7384,657,2079,1031,1757,1364,1810,36.719,34.097,2.622,3,3,158,0,158,50.9,46.7,4.2,2,5962,3,4152,-,-,2,-,115,-,691,-,-,-,-,-,31
1,2,3,,MORGAN WALLEN,Thinkin' Bout Me,Big Loud/Mercury/Republic,17,28153,30825,-2672,7807,8563,-756,1912,1187,1739,1336,1633,38.372,40.253,-1.881,2,1,157,0,157,49.7,54.5,-4.8,3,5895,2,4262,260,35,3,-,33,-,-,-,-,-,-,-,24
3,3,4,Yes,DYLAN SCOTT,Can't Have Mine (Find You A..),Curb,55,27546,26244,1302,7717,7372,345,2074,962,1665,1273,1743,35.236,32.737,2.499,4,4,158,0,158,48.8,46.7,2.2,4,5643,4,3900,-,-,4,-,560,-,-,-,-,-,-,-,35
5,7,5,Yes,MORGAN WALLEN,Everything I Love,Big Loud/Mercury/Republic,21,22226,21331,895,6327,6057,270,1776,741,1318,1017,1475,25.548,23.981,1.567,6,8,157,0,157,40.3,38.6,1.7,5,4551,5,3076,-,-,5,-,566,-,-,-,-,-,-,-,42
1,1,6,,DUSTIN LYNCH,Stars Like Confetti,Broken Bow,41,21571,31968,-10397,5748,8799,-3051,1550,737,1245,982,1234,28.506,37.893,-9.387,5,2,155,0,155,36.4,55.7,-19.3,6,4198,6,2964,-,-,6,-,843,-,-,-,-,-,-,-,46
7,9,7,Yes,DAN + SHAY,Save Me The Trouble,Warner/WAR,19,20199,18893,1306,5669,5347,322,1504,656,1223,968,1318,24.677,23.313,1.364,8,10,158,0,158,35.9,33.8,2,8,4165,9,2847,-,-,7,-,-,-,-,-,-,-,-,-,48
8,10,8,Yes,GEORGE BIRGE,Mind On You,RECORDS Nashville,35,20083,18849,1234,5638,5216,422,1457,621,1225,951,1384,25.059,24.424,0.635,7,7,158,0,158,35.7,33,2.7,7,4181,10,2797,-,-,8,-,-,-,-,-,-,-,-,-,49
8,8,9,Yes,LUKE BRYAN,But I Got A Beer In My Hand,Capitol Nashville,28,19807,19550,257,5544,5499,45,1634,577,1123,891,1319,23.643,23.437,0.206,10,9,158,0,158,35.1,34.8,0.3,9,3910,12,2591,-,-,9,-,-,-,-,-,-,-,-,-,51
10,11,10,Yes,NATE SMITH,World On Fire,RCA Nashville,21,19407,17995,1412,5373,4922,451,1576,668,1101,893,1135,24.512,22.754,1.758,9,11,158,0,158,34,31.2,2.9,10,3797,11,2662,-,-,10,-,673,-,-,-,-,-,-,-,54
