PK,Rank,,,Artist,Title,Label,Wks On,Points,,,Spins,,,Dayparts,,,,,Impressions,,,,,Stations,,Avg. Station Rotations,,,,w/o OVN,,6am to 7pm,,Format By Format Rank,,,,,,,,,,,,
,LW,TW,,,,,,TW,LW,+/-,TW,LW,+/-,OVN,AMD,MID,PMD,EVE,TW,LW,+/-,rTW,rLW,On,New,On,TW,LW,+/-,Rank,TW,Rank,TW,AC,Hot AC,Country,Gospel,Top 40,Triple A,Active Rock,Alternative,Urban,R&B,Rhythmic,Dance,Big Picture
1,2,1,Yes,JELLY ROLL,Save Me (with Lainey Wilson),Stoney Creek/BMG,13,33840,30339,3501,9604,8637,967,2562,1412,1976,1524,2130,42.292,39.649,2.643,1,1,157,0,157,61.2,55,6.2,1,7042,1,4912,-,-,1,-,118,-,-,-,-,-,-,-,21
1,1,2,,DYLAN SCOTT,Can't Have Mine (Find You A..),Curb,57,24704,32820,-8116,6956,9267,-2311,1745,1011,1516,1168,1516,31.97,39.264,-7.294,3,2,154,0,154,44.3,59,-14.7,2,5211,3,3695,-,-,2,-,692,-,-,-,-,-,-,-,35
3,5,3,Yes,NATE SMITH,World On Fire,RCA Nashville,23,24309,22785,1524,6859,6395,464,1777,878,1550,1213,1441,32.813,28.445,4.368,2,4,157,0,157,43.7,40.7,3,3,5082,4,3641,-,-,3,-,562,-,-,-,-,-,-,-,36
4,4,4,Yes,MORGAN WALLEN,Everything I Love,Big Loud/Mercury/Republic,23,24003,23002,1001,6747,6489,258,1802,810,1440,1091,1604,30.409,28.873,1.536,4,3,157,1,157,43,41.3,1.6,4,4945,6,3341,-,-,4,-,537,-,-,-,-,-,-,-,37
3,3,5,Yes,DAN + SHAY,Save Me The Trouble,Warner/WAR,21,23620,23185,435,6735,6596,139,1876,788,1433,1132,1506,28.58,27.025,1.555,5,5,157,0,157,42.9,42,0.9,5,4859,5,3353,-,-,5,-,695,-,-,-,-,-,-,-,38
6,6,6,Yes,GEORGE BIRGE,Mind On You,RECORDS Nashville,37,23502,22268,1234,6672,6288,384,1879,733,1422,1094,1544,28.38,26.467,1.913,6,6,157,0,157,42.5,40.1,2.4,6,4793,7,3249,-,-,6,-,212,-,-,-,-,-,-,-,39
7,7,7,Yes,LUKE BRYAN,But I Got A Beer In My Hand,Capitol Nashville,30,21296,20398,898,6031,5677,354,1713,684,1233,995,1406,25.366,23.866,1.5,7,7,157,1,157,38.4,36.2,2.3,7,4318,8,2912,-,-,7,-,343,-,-,-,-,-,-,-,47
8,8,8,Yes,CHRIS STAPLETON,White Horse,Mercury Nashville,20,18337,18046,291,5148,5057,91,1390,633,1111,869,1145,23.097,22.545,0.552,8,8,157,0,157,32.8,32.2,0.6,8,3758,10,2613,-,-,8,-,900,28,342,-,-,-,-,-,52
9,9,9,Yes,RILEY GREEN,Different Round Here f/L.Combs,BMLG,28,17511,16937,574,4857,4688,169,1324,529,1029,851,1124,21.177,19.982,1.195,9,9,157,0,157,30.9,29.9,1.1,9,3533,12,2409,-,-,9,-,787,-,-,-,-,-,-,-,56
10,10,10,Yes,CHRIS JANSON,All I Need Is You,BMLG,39,16657,16151,506,4761,4626,135,1377,504,954,772,1154,19.431,19.04,0.391,10,10,157,0,157,30.3,29.5,0.9,10,3384,15,2230,-,-,10,-,297,-,-,-,-,-,-,-,60
11,12,11,Yes,MITCHELL TENPENNY,We Got History,Riser House/Columbia Nash,48,15599,15034,565,4407,4258,149,1293,450,928,740,996,18.42,16.921,1.499,11,11,157,0,157,28.1,27.1,0.9,11,3114,18,2118,-,-,11,-,-,-,-,-,-,-,-,-,63
12,15,12,Yes,KANE BROWN,I Can Feel It,RCA Nashville,11,14527,13341,1186,4047,3755,292,1095,408,811,670,1063,16.302,15.18,1.122,14,12,157,0,157,25.8,23.9,1.9,12,2952,20,1889,-,-,12,-,302,-,-,-,-,-,-,-,68
