PK,Rank,,,Artist,Title,Label,Wks On,Points,,,Spins,,,Dayparts,,,,,Impressions,,,,,Stations,,Avg. Station Rotations,,,,w/o OVN,,6am to 7pm,,Format By Format Rank,,,,,,,,,,,,
,LW,TW,,,,,,TW,LW,+/-,TW,LW,+/-,OVN,AMD,MID,PMD,EVE,TW,LW,+/-,rTW,rLW,On,New,On,TW,LW,+/-,Rank,TW,Rank,TW,AC,Hot AC,Country,Gospel,Top 40,Triple A,Active Rock,Alternative,Urban,R&B,Rhythmic,Dance,Big Picture
1,1,1,,JELLY ROLL,Save Me (with Lainey Wilson),Stoney Creek/BMG,14,28942,33840,-4898,8023,9604,-1581,2045,1129,1705,1337,1807,37.263,42.292,-5.029,1,1,156,0,156,51.1,61.2,-10.1,1,5978,1,4171,-,-,1,-,141,-,-,663,-,-,-,-,28
2,7,2,Yes,LUKE BRYAN,But I Got A Beer In My Hand,Capitol Nashville,31,28036,21296,6740,7773,6031,1742,2327,1041,1426,1106,1873,30.934,25.366,5.568,4,7,157,0,157,49.5,38.4,11.1,3,5446,3,3573,-,-,2,-,774,-,-,-,-,-,-,-,30
3,3,3,Yes,NATE SMITH,World On Fire,RCA Nashville,24,26479,24309,2170,7536,6859,677,2074,938,1586,1258,1680,34.048,32.813,1.235,2,2,157,0,157,48,43.7,4.3,2,5462,2,3782,-,-,3,-,707,-,-,-,-,-,-,-,31
4,4,4,Yes,MORGAN WALLEN,Everything I Love,Big Loud/Mercury/Republic,24,24483,24003,480,6903,6747,156,1838,827,1449,1108,1681,31.311,30.409,0.902,3,4,157,0,157,44,43,1,5,5065,7,3384,-,-,4,-,288,-,-,-,-,-,-,-,35
5,6,5,Yes,GEORGE BIRGE,Mind On You,RECORDS Nashville,38,24457,23502,955,7022,6672,350,1920,829,1495,1143,1635,29.167,28.38,0.787,5,6,157,0,157,44.7,42.5,2.2,4,5102,5,3467,-,-,5,-,788,-,-,-,-,-,-,-,34
3,5,6,Yes,DAN + SHAY,Save Me The Trouble,Warner/WAR,22,24194,23620,574,6884,6735,149,1890,843,1461,1090,1600,28.188,28.58,-0.392,6,5,157,0,157,43.8,42.9,0.9,6,4994,6,3394,-,-,6,-,851,-,-,-,-,-,-,-,36
7,8,7,Yes,CHRIS STAPLETON,White Horse,Mercury Nashville,21,19365,18337,1028,5530,5148,382,1465,660,1155,911,1339,23.771,23.097,0.674,8,8,157,0,157,35.2,32.8,2.4,7,4065,9,2726,-,-,7,-,-,30,827,-,-,-,-,-,49
1,2,8,,DYLAN SCOTT,Can't Have Mine (Find You A..),Curb,58,18250,24704,-6454,5024,6956,-1932,1034,893,1164,830,1103,25.714,31.97,-6.256,7,3,152,0,152,32.6,45.2,-12.5,8,3990,8,2887,-,-,8,-,372,-,-,-,-,-,-,-,52
9,9,9,Yes,RILEY GREEN,Different Round Here f/L.Combs,BMLG,29,17811,17511,300,5019,4857,162,1360,582,1077,867,1133,21.711,21.177,0.534,9,9,157,0,157,32,30.9,1,9,3659,10,2526,-,-,9,-,575,-,-,-,-,-,-,-,53
10,11,10,Yes,MITCHELL TENPENNY,We Got History,Riser House/Columbia Nash,49,17328,15599,1729,4920,4407,513,1478,553,936,755,1198,19.96,18.42,1.54,10,11,157,0,157,31.3,28.1,3.3,11,3442,14,2244,-,-,10,-,585,-,-,-,-,-,-,-,56
10,10,11,Yes,CHRIS JANSON,All I Need Is You,BMLG,40,17162,16657,505,4933,4761,172,1390,543,1019,773,1208,19.65,19.431,0.219,11,10,157,0,157,31.4,30.3,1.1,10,3543,12,2335,-,-,11,-,1062,-,-,-,-,-,-,-,55
12,13,12,Yes,WARREN ZEIDERS,Pretty Little Poison,Warner/WEA,20,15428,14490,938,4331,4038,293,1345,435,816,674,1061,17.282,16.66,0.622,13,13,154,0,154,28.1,26.2,1.9,13,2986,18,1925,-,-,12,-,402,-,-,-,-,-,-,-,65
