PK,Rank,,,Artist,Title,Label,Wks On,Points,,,Spins,,,Dayparts,,,,,Impressions,,,,,Stations,,Avg. Station Rotations,,,,w/o OVN,,6am to 7pm,,Format By Format Rank,,,,,,,,,,,,
13,14,13,Yes,LUKE COMBS,Where The Wild Things Are,River House/Columbia Nash,8,14819,13678,1141,4131,3835,296,1177,449,816,651,1038,18.488,17.571,0.917,12,12,157,0,157,26.3,24.4,1.9,14,2954,19,1916,-,-,13,-,-,-,-,-,-,-,-,-,70
12,12,14,Yes,KANE BROWN,I Can Feel It,RCA Nashville,12,14539,14527,12,4082,4047,35,1091,405,844,648,1094,15.974,16.302,-0.328,14,14,157,0,157,26,25.8,0.2,12,2991,20,1897,-,-,14,-,1059,-,-,-,-,-,-,-,71
15,17,15,Yes,CODY JOHNSON,The Painter,CoJo/Warner/WMN,17,13690,12844,846,3764,3569,195,1181,426,674,611,872,15.343,14.268,1.075,15,15,157,0,157,24,22.7,1.2,16,2583,23,1711,-,-,15,-,281,-,-,-,-,-,-,-,75
13,15,16,Yes,CONNER SMITH,Creek Will Rise,Valory Music Co.,35,13633,13467,166,3915,3868,47,1296,410,657,552,1000,13.586,13.707,-0.121,18,17,157,0,157,24.9,24.6,0.3,15,2619,26,1619,-,-,16,-,735,-,-,-,-,-,-,-,72
16,16,17,Yes,CHAYCE BECKHAM,23,Wheelhouse,36,13518,13191,327,3868,3783,85,1342,372,680,545,929,13.863,13.027,0.836,17,18,157,0,157,24.6,24.1,0.5,17,2526,27,1597,-,-,17,-,581,-,-,-,-,-,-,-,74
18,18,18,Yes,HARDY,TRUCK BED,Big Loud Rock/Big Loud,28,12012,11574,438,3357,3230,127,1180,337,561,427,852,14.674,14.187,0.487,16,16,154,1,154,21.8,21,0.8,18,2177,29,1325,-,-,18,-,252,-,-,-,-,-,-,-,85
19,19,19,Yes,PARKER MCCOLLUM,Burn It Down,MCA Nashville,23,10594,9976,618,2963,2777,186,945,298,480,471,769,10.956,10.745,0.211,19,19,154,1,154,19.2,18,1.2,19,2018,30,1249,-,-,19,-,705,-,-,-,-,-,-,-,98
20,20,20,Yes,JACKSON DEAN,Fearless,Big Machine,44,9179,8971,208,2549,2521,28,1029,264,310,289,657,9.167,8.917,0.25,20,20,155,0,155,16.4,16.3,0.2,20,1520,35,863,-,-,20,-,579,-,-,-,-,-,-,-,119
21,22,21,Yes,GABBY BARRETT,Glory Days,Warner/WAR,27,8371,8134,237,2405,2367,38,968,204,317,274,642,7.087,6.757,0.33,25,26,156,2,156,15.4,15.2,0.2,22,1437,39,795,-,-,21,-,586,-,-,-,-,-,-,-,123
21,21,22,,BROTHERS OSBORNE,Nobody's Nobody,EMI Nashville,33,8278,8474,-196,2372,2424,-52,895,210,312,262,693,7.389,8.209,-0.82,24,21,151,0,151,15.6,15.9,-0.3,21,1477,41,784,-,-,22,-,371,-,-,-,-,-,-,-,125
23,23,23,Yes,CARLY PEARCE,We Don't Fight...f/C.Stapleton,Big Machine,25,7945,7683,262,2273,2195,78,939,186,357,295,496,7.84,7.455,0.385,21,23,156,1,156,14.6,14.1,0.5,25,1334,36,838,-,-,23,-,-,-,-,-,-,-,-,-,135
24,25,24,Yes,SCOTTY MCCREERY,Cab In A Solo,Triple Tigers,16,7804,6986,818,2303,2079,224,941,161,274,213,714,7.006,6.842,0.164,26,25,156,0,156,14.8,13.3,1.4,24,1362,48,648,-,-,24,-,-,-,-,-,-,-,-,-,131
24,24,25,Yes,BRIAN KELLEY,See You Next Summer,Big Machine,28,7307,7304,3,2066,2088,-22,937,177,195,171,586,6.073,6.277,-0.204,28,27,155,2,155,13.3,13.5,-0.1,28,1129,54,543,-,-,25,-,1022,-,-,-,-,-,-,-,153
26,27,26,Yes,JORDAN DAVIS,Tucson Too Late,MCA Nashville,15,7153,6608,545,1975,1801,174,719,175,269,245,567,7.498,7.274,0.224,22,24,151,0,151,13.1,11.9,1.2,26,1256,46,689,-,-,26,-,-,-,-,-,-,-,-,-,163
26,26,27,Yes,THOMAS RHETT,Mamaw's House f/Morgan Wallen,Valory/Big Loud,10,7022,6901,121,2046,1992,54,618,183,366,269,610,7.433,7.933,-0.5,23,22,148,2,148,13.7,13.4,0.4,23,1428,38,818,-,-,27,-,595,-,-,-,-,-,-,-,157
28,29,28,Yes,TYLER HUBBARD,Back Then Right Now,EMI Nashville,13,6671,6296,375,2019,1894,125,775,132,254,235,623,5.981,5.471,0.51,30,31,149,2,149,13.6,12.7,0.8,27,1244,50,621,-,-,28,-,741,-,-,-,-,-,-,-,159
28,28,29,,CARRIE UNDERWOOD,Out Of That Truck,Capitol Nashville,25,6224,6328,-104,1697,1712,-15,695,111,188,189,514,5.422,5.922,-0.5,32,28,142,1,142,11.9,12,-0.1,32,1002,61,488,-,-,29,-,-,-,-,-,-,-,-,-,189
30,30,30,Yes,MEGAN MORONEY,I'm Not Pretty,Columbia/Columbia Nash,16,6181,6158,23,1707,1696,11,669,130,171,170,567,5.535,5.464,0.071,31,33,145,0,145,11.8,11.7,0.1,29,1038,66,471,-,-,30,-,-,-,-,-,-,-,-,-,187
31,31,31,Yes,KENNY CHESNEY,Take Her Home,Warner Nashville/WEA,5,6040,5834,206,1658,1581,77,736,92,205,164,461,5.028,5.47,-0.442,33,32,152,13,152,10.9,10.4,0.5,34,922,68,461,-,-,31,-,888,-,-,-,-,-,-,-,194
32,36,32,Yes,LAINEY WILSON,Wildflowers And Wild Horses,Broken Bow,3,5642,4435,1207,1532,1158,374,521,96,196,180,539,5.989,5.553,0.436,29,30,152,25,152,10,7.6,2.4,31,1011,65,472,-,-,32,-,601,-,-,-,-,-,-,-,217
32,32,33,Yes,ZACH BRYAN,I Remember... f/K. Musgraves,Warner/WAR,13,5600,5468,132,1609,1573,36,576,119,270,228,416,4.749,4.773,-0.024,34,34,140,2,140,11.5,11.2,0.3,30,1033,51,617,170,25,33,-,29,19,-,-,-,-,495,-,66
34,37,34,Yes,MORGAN WALLEN,Man Made A Bar f/Eric Church,Big Loud/EMI/Mercury,3,5187,4332,855,1342,1089,253,388,112,217,203,422,6.289,5.68,0.609,27,29,144,14,144,9.2,7.5,1.7,33,954,55,532,-,-,34,-,-,-,-,-,-,-,-,-,245
34,34,35,Yes,SAM HUNT,Outskirts,MCA Nashville,17,4856,4682,174,1399,1343,56,510,81,167,121,520,3.722,3.692,0.03,37,36,139,2,139,10,9.6,0.4,36,889,73,369,-,-,35,-,-,-,-,-,-,-,-,-,231
33,33,36,Yes,CHASE MATTHEW,Love You Again,Warner/WAR,14,4792,4752,40,1470,1442,28,555,121,196,175,423,3.735,3.634,0.101,36,37,130,2,130,11.3,11.1,0.2,35,915,60,492,-,-,36,-,350,-,-,-,-,-,-,-,223
37,40,37,Yes,OLD DOMINION,Can't Break Up Now f/M.Moroney,Columbia Nashville,10,4499,3746,753,1341,1129,212,534,110,189,124,384,3.629,2.867,0.762,38,38,128,17,128,10.5,8.8,1.7,37,807,69,423,-,-,37,-,-,-,-,-,-,-,-,-,246
38,38,38,Yes,DILLON CARMICHAEL,Drinkin' Problems,Riser House,19,4270,3935,335,1258,1191,67,547,63,138,152,358,3.032,2.641,0.391,39,39,129,21,129,9.8,9.2,0.5,38,711,74,353,-,-,38,-,-,-,-,-,-,-,-,-,261
39,39,39,Yes,MICHAEL RAY,Spirits And Demons f/M.Patrick,Warner/WEA/Riser House,9,3839,3758,81,1100,1060,40,546,70,112,96,276,2.579,2.376,0.203,40,43,103,7,103,10.6,10.2,0.4,39,554,82,278,-,-,39,-,-,-,-,-,-,-,-,-,297
30,41,40,Yes,GARTH BROOKS & RONNIE DUNN,Rodeo Man,Big Machine,5,3795,3669,126,1030,979,51,502,33,86,73,336,2.099,2.436,-0.337,46,42,118,4,118,8.1,7.7,0.4,41,528,93,192,-,-,40,-,-,-,-,-,-,-,-,-,321
41,42,41,Yes,CHRIS YOUNG,Young Love & Saturday Nights,RCA Nashville,9,3399,3282,117,871,839,32,339,63,146,111,212,3.823,4.186,-0.363,35,35,78,5,78,11.2,10.8,0.4,40,532,77,320,-,-,41,-,-,-,-,-,-,-,-,-,400
42,43,42,,COREY KENT,Something's Gonna Kill Me,Combustion/RCA Nashville,13,3023,3235,-212,823,870,-47,422,34,82,83,202,2.372,2.536,-0.164,42,41,81,2,81,9.8,10.4,-0.6,44,401,91,199,-,-,42,-,-,-,-,-,-,-,-,-,437
43,44,43,Yes,BRYAN MARTIN,We Ride,Avg Joes/New Revolution,7,3018,2986,32,793,794,-1,411,36,78,69,199,2.123,2.036,0.087,45,45,77,5,77,10.3,10.3,0,47,382,94,183,-,-,43,-,-,-,-,-,-,-,-,-,455
44,46,44,Yes,BAILEY ZIMMERMAN,Where It Ends,Warner/WEA/Elektra,8,2921,2756,165,831,781,50,367,47,102,81,234,2.129,1.949,0.18,44,46,118,3,118,7,6.6,0.4,42,464,87,230,-,-,44,-,-,-,-,-,-,-,-,-,429
45,47,45,Yes,BRETT YOUNG,Dance With You,BMLG,5,2786,2614,172,850,800,50,460,40,82,57,211,1.559,1.156,0.403,49,49,90,1,90,9.1,8.6,0.5,46,390,95,179,-,-,45,-,-,-,-,-,-,-,-,-,415
44,45,46,,JON PARDI & LUKE BRYAN,Cowboys And Plowboys,Capitol Nashville,8,2770,2789,-19,765,766,-1,369,50,86,75,185,2.395,2.561,-0.166,41,40,93,9,93,7.8,7.8,0,45,396,90,211,-,-,46,-,-,-,-,-,-,-,-,-,480
47,48,47,Yes,PARMALEE,Gonna Love You,Stoney Creek,3,2625,2535,90,854,804,50,391,56,117,109,181,1.83,1.709,0.121,47,48,76,6,76,11.1,10.4,0.6,43,463,81,282,-,-,47,-,-,-,-,-,-,-,-,-,412
48,51,48,Yes,HANNAH ELLIS,Wine Country,Curb,2,2301,1844,457,806,678,128,479,32,58,48,189,1.02,0.796,0.224,51,53,82,3,82,9.6,8.1,1.5,48,327,100,138,-,-,48,-,-,-,-,-,-,-,-,-,445
39,50,49,Yes,JUSTIN MOORE,This Is My Dirt,Valory Music Co.,3,2240,1860,380,594,484,110,323,28,39,46,158,2.31,2.149,0.161,43,44,84,15,84,6.3,5.1,1.2,51,271,103,113,-,-,49,-,734,-,-,-,-,-,-,-,658
50,56,50,Yes,JASON ALDEAN,Let Your Boys Be Country,Macon Music/Broken Bow,1,2163,1430,733,598,386,212,282,38,65,55,158,1.354,0.936,0.418,50,52,72,6,72,7.9,5.1,2.8,49,316,98,158,-,-,50,-,-,-,-,-,-,-,-,-,650
49,49,51,Yes,CHRIS LANE,Find Another Bar,Red Street,1,2060,1937,123,629,572,57,414,12,41,28,134,0.919,0.94,-0.021,53,51,85,16,85,7.2,6.6,0.7,54,215,112,81,-,-,51,-,591,-,-,-,-,-,-,-,612
51,52,52,Yes,TYLER CHILDERS,In Your Love,Hickman Holler/RCA,-,1855,1843,12,657,656,1,358,26,66,56,151,0.999,1.12,-0.121,52,50,67,3,67,9.7,9.6,0,50,299,99,148,-,-,52,-,-,6,-,77,-,-,-,-,250
52,54,53,Yes,JOE NICHOLS,Brokenhearted,Quartz Hill,-,1771,1703,68,577,560,17,353,24,33,38,129,0.865,0.731,0.134,54,55,73,9,73,7.8,7.6,0.2,53,224,109,95,-,-,53,-,-,-,-,-,-,-,-,-,693
53,53,54,,HIXTAPE,Pickup Man f/Post Malone ...,Big Loud/Mercury/Republic,-,1622,1815,-193,373,414,-41,122,19,51,49,132,1.622,1.797,-0.175,48,47,73,2,73,4.9,5.4,-0.5,52,251,101,119,-,-,54,-,-,-,-,-,-,-,-,-,1100
52,55,55,Yes,TOBY KEITH,Don't Let The Old Man In,Show Dog/BMLGR,-,1620,1530,90,527,465,62,354,20,12,10,131,0.554,0.567,-0.013,62,62,90,10,90,5.3,4.7,0.6,59,173,132,42,-,-,55,-,-,-,-,-,-,-,-,-,774
56,65,56,Yes,LADY A,Love You Back,BMLG,-,1538,1007,531,384,203,181,178,12,20,21,153,0.811,0.607,0.204,55,60,46,24,46,8.2,4.3,3.9,55,206,123,53,-,-,56,-,-,-,-,-,-,-,-,-,1073
57,59,57,Yes,HUNTERGIRL,Ain't About You,Wheelhouse,-,1494,1286,208,484,414,70,296,11,17,14,146,0.564,0.456,0.108,61,65,71,15,71,6.8,5.8,1,57,188,133,42,-,-,57,-,-,-,-,-,-,-,-,-,848
56,57,58,Yes,HAILEY WHITTERS,I'm In Love,Big Loud,-,1369,1310,59,420,388,32,236,15,29,32,108,0.79,0.749,0.041,56,54,62,3,62,6.7,6.2,0.5,58,184,113,76,-,-,58,-,-,-,-,-,-,-,-,-,973
54,58,59,,DREW BALDRIDGE,She's Somebody's Daughter,Lyric Ridge,-,1279,1295,-16,465,476,-11,268,20,45,43,89,0.604,0.64,-0.036,58,58,61,7,61,7.6,7.8,-0.2,56,197,104,108,-,-,59,-,-,-,-,-,-,-,-,-,875
60,62,60,,IAN MUNSICK,Long Live Cowgirls,Warner/WEA,-,1053,1102,-49,299,301,-2,153,15,21,19,91,0.583,0.651,-0.068,59,57,37,2,37,7.9,7.9,-0.1,60,146,120,55,-,-,60,-,-,-,-,-,-,-,-,-,1336
60,64,61,,RANDY HOUSER,Cancel,Magnolia Music,-,1041,1050,-9,337,347,-10,213,10,27,17,70,0.455,0.451,0.004,64,66,46,2,46,7.2,7.4,-0.2,63,124,122,54,-,-,61,-,-,-,-,-,-,-,-,-,1198
61,61,62,,NEON UNION,This Side Of The Dirt,Red Street,-,1035,1157,-122,311,339,-28,187,6,27,13,78,0.456,0.461,-0.005,63,64,43,1,43,7.1,7.7,-0.6,64,124,129,46,-,-,62,-,-,-,-,-,-,-,-,-,1289
56,60,63,,LAUREN ALAINA,Thicc As Thieves,Big Loud,-,1034,1166,-132,322,352,-30,198,7,21,15,81,0.43,0.618,-0.188,66,59,53,2,53,6.1,6.6,-0.6,65,124,130,43,-,-,63,-,-,-,-,-,-,-,-,-,1257
63,63,64,,RUNAWAY JUNE,Make Me Wanna Smoke,Quartz Hill,-,1021,1064,-43,320,336,-16,195,19,25,28,53,0.676,0.656,0.02,57,56,38,3,38,6.7,7,-0.3,62,125,118,72,-,-,64,-,-,-,-,-,-,-,-,-,1261
65,67,65,Yes,RYAN LARKINS,King Of Country Music,Red Street,-,999,894,105,284,235,49,157,16,18,21,72,0.57,0.597,-0.027,60,61,49,6,49,5.5,4.5,0.9,61,127,121,55,-,-,65,-,-,-,-,-,-,-,-,-,1399
59,66,66,,JOSH ROSS,Trouble,Mercury Nashville,-,877,945,-68,291,302,-11,189,22,15,11,54,0.379,0.344,0.035,68,67,56,11,56,4.8,5,-0.2,66,102,127,48,-,-,66,-,-,-,-,-,-,-,-,-,1368
64,68,67,,DYLAN SCHNEIDER,Ain't Missin' You,Wheelhouse,-,710,771,-61,282,294,-12,190,16,10,16,50,0.23,0.24,-0.01,71,72,32,0,32,8.5,8.9,-0.4,67,92,134,42,-,-,67,-,-,-,-,-,-,-,-,-,1409
66,69,68,,ANNE WILSON,Rain In The Rearview,Sparrow/EMI Nashville,-,650,705,-55,230,240,-10,140,6,11,7,66,0.214,0.249,-0.035,74,70,43,3,43,5.3,5.6,-0.2,68,90,154,24,-,-,68,-,-,-,-,-,-,-,-,-,1665
66,70,69,,MADDIE & TAE,Heart They Didn't Break,Mercury Nashville,-,623,669,-46,243,249,-6,157,5,14,12,55,0.19,0.218,-0.028,76,73,35,0,35,6.8,6.9,-0.2,69,86,140,31,-,-,69,-,-,-,-,-,-,-,-,-,1585
70,71,70,Yes,CAROLINE JONES/ZAC BROWN BAND,Million Little Bandaids,True To The Song,-,514,466,48,183,157,26,107,8,12,13,43,0.094,0.073,0.021,92,99,27,4,27,6.5,5.6,0.9,71,76,139,33,-,-,70,-,-,-,-,-,-,-,-,-,1961
71,95,71,Yes,DUSTIN LYNCH,Chevrolet f/Jelly Roll,Broken Bow,-,489,112,377,142,32,110,73,7,18,12,32,0.337,0.119,0.218,69,90,31,26,31,3.4,0.8,2.6,73,69,138,37,-,-,71,-,-,-,-,-,-,-,-,-,2354
72,122,72,Yes,DYLAN MARLOWE & DYLAN SCOTT,Boys Back Home,Columbia Nash-Curb,-,396,60,336,124,24,100,62,10,11,9,32,0.087,0.047,0.04,95,113,32,28,32,3.8,0.7,3,74,62,141,30,-,-,72,-,-,-,-,-,-,-,-,-,2597
73,78,73,Yes,ASHLEY COOKE,your place,Big Loud,-,382,203,179,85,36,49,34,7,10,11,23,0.158,0.022,0.136,83,146,23,20,23,3.5,1.5,2,75,51,146,28,-,-,73,-,-,-,-,-,-,-,-,-,-
74,88,74,Yes,MATT STELL,Breakin' In Boots,RECORDS Nashville,-,375,146,229,115,38,77,88,3,2,3,19,0.152,0.09,0.062,84,95,16,9,16,7.2,2.4,4.8,84,27,195,8,-,-,74,-,-,-,-,-,-,-,-,-,2729
75,79,75,Yes,WALKER HAYES,Fancy Like Christmas,RCA,-,363,197,166,98,55,43,16,33,17,23,9,0.433,0.301,0.132,65,68,27,10,27,2.9,1.6,1.3,70,82,116,73,56,112,75,-,254,-,-,-,-,-,-,-,2621
74,74,76,Yes,ANNIE BOSKO,Neon Baby,Stone Country,-,338,332,6,126,120,6,86,5,16,6,13,0.071,0.049,0.022,99,112,21,3,21,6,5.7,0.3,79,40,148,27,-,-,76,-,-,-,-,-,-,-,-,-,2563
68,73,77,,MICKEY GUYTON,Nothing Compares To..f/K.Brown,Capitol Nashville,-,316,345,-29,106,117,-11,63,4,14,6,19,0.168,0.165,0.003,81,83,17,0,17,5.9,6.5,-0.6,78,43,155,24,-,-,77,-,-,-,-,-,-,-,-,-,2883
72,72,78,,JAY ALLEN,No Present LIke The Time,ONErpm/16camino,-,292,366,-74,111,114,-3,81,6,4,5,15,0.085,0.04,0.045,96,117,16,2,16,6.9,7.1,-0.2,83,30,170,15,-,389,78,-,-,-,-,-,-,-,-,-,2782
54,76,79,Yes,THOMPSON SQUARE,Without You,Quartz Hill,-,282,255,27,59,57,2,21,6,7,7,18,0.334,0.282,0.052,70,69,10,2,10,5.9,5.7,0.2,80,38,159,20,-,-,79,-,-,-,-,-,-,-,-,-,-
80,270,80,Yes,KIMBERLY PERRY,Black Corvette,RECORDS Nashville,-,253,7,246,75,2,73,0,27,0,0,48,0.228,0.011,0.217,72,191,56,54,56,1.3,0,1.3,72,75,149,27,-,-,80,-,-,-,-,-,-,-,-,-,-
48,75,81,,EASTON CORBIN,Marry That Girl,Stone Country,8,187,302,-115,54,84,-30,47,0,1,2,4,0.067,0.159,-0.092,101,84,10,1,10,2.8,4.4,-1.6,142,7,249,3,-,-,81,-,-,-,-,-,-,-,-,-,-
82,193,82,Yes,KELSEY HART,Life With You,Curb,-,182,17,165,30,4,26,11,5,5,4,5,0.002,0.024,-0.022,465,141,4,3,4,5,0.7,4.3,90,19,175,14,-,-,82,-,-,-,-,-,-,-,-,-,-
58,77,83,,TIM DUGGER,Buy A Bar,Curb,-,181,218,-37,30,48,-18,9,2,5,5,9,0.227,0.202,0.025,73,76,3,0,3,4.3,6.9,-2.6,87,21,180,12,-,-,83,-,-,-,-,-,-,-,-,-,-
84,262,84,Yes,DOLLY PARTON,Wrecking Ball f/Miley Cyrus,Butterfly/Big Machine,-,175,7,168,50,2,48,0,2,0,0,48,0.098,0.011,0.087,90,190,50,50,50,1,0,0.9,76,50,278,2,-,402,84,-,-,-,-,-,-,-,-,-,-
85,271,85,Yes,MACKENZIE PORTER,Bet You Break My Heart,Big Loud,-,174,7,167,50,2,48,0,2,0,0,48,0.098,0.011,0.087,91,192,50,50,50,1,0,0.9,77,50,279,2,-,-,85,-,-,-,-,-,-,-,-,-,-
80,101,86,Yes,CALEB LEE HUTCHINSON,Silverado,Country Reborn,-,160,107,53,45,30,15,45,0,0,0,0,0.029,0.02,0.009,134,153,15,0,15,3,2,1,535,0,532,0,-,-,86,-,-,-,-,-,-,-,-,-,-
85,85,87,Yes,CONNER SWEET,She's Gotta Know,Sweet Music,-,160,160,0,45,45,0,45,0,0,0,0,0.029,0.029,0,136,131,15,0,15,3,3,0,546,0,533,0,-,-,87,-,-,-,-,-,-,-,-,-,-
10,93,88,Yes,KEITH URBAN,Brown Eyes Baby,Capitol Nashville,48,154,133,21,30,21,9,13,3,4,5,5,0.162,0.156,0.006,82,85,9,6,9,2.7,1.9,0.8,94,17,181,12,-,-,88,-,-,-,-,-,-,-,-,-,-
89,96,89,Yes,SCOTTY MCCREERY,Feel Like The Holidays,Triple Tigers,-,141,109,32,30,23,7,6,2,8,8,6,0.078,0.151,-0.073,97,86,14,9,14,1.4,1.1,0.3,86,24,161,18,-,-,89,-,-,-,-,-,-,-,-,-,-
72,89,90,,COLE SWINDELL,How Is She,Warner/WMN,-,140,145,-5,28,29,-1,8,2,7,6,5,0.185,0.184,0.001,79,78,1,0,1,28,29,-1,88,20,171,15,-,-,90,-,-,-,-,-,-,-,-,-,-
37,80,91,,TIGIRLILY GOLD,Shoot Tequila,Monument,11,137,183,-46,20,33,-13,3,6,4,5,2,0.196,0.21,-0.014,75,75,6,3,6,2.5,4.1,-1.6,93,17,172,15,-,-,91,-,-,-,-,-,-,-,-,-,-
92,92,92,Yes,JON PARDI,All I Want For Christmas Is...,Capitol Nashville,-,132,134,-2,30,27,3,5,6,11,5,3,0.186,0.171,0.015,78,81,12,5,12,2.1,1.9,0.2,85,25,158,22,-,-,92,-,-,-,-,-,-,-,-,-,-
93,110,93,Yes,JON PARDI,Beer For Santa,Capitol Nashville,-,126,77,49,24,12,12,6,6,6,4,2,0.1,0.244,-0.144,89,71,10,5,10,1.8,0.9,0.9,91,18,166,16,-,-,93,-,-,-,-,-,-,-,-,-,-
94,114,94,Yes,THE FRONTMEN,Left Their Mark,BBR Music Group,-,120,72,48,35,23,12,0,9,20,0,6,0.189,0.12,0.069,77,89,35,34,35,0.6,0.4,0.2,82,35,144,29,-,-,94,-,-,-,-,-,-,-,-,-,-
95,-,95,Yes,ELI YOUNG BAND/GEORGE BIRGE,Amy's Back In Austin,FOUR17 Ent.,-,109,0,109,38,0,38,0,38,0,0,0,0.173,0,0.173,80,379,38,38,38,1,0,1,81,38,137,38,-,-,95,-,-,-,-,-,-,-,-,-,-
60,83,96,,LEE BRICE,Save The Roses,Curb,-,109,178,-69,11,18,-7,11,0,0,0,0,0.015,0.025,-0.01,176,137,1,0,1,11,18,-7,539,0,534,0,-,-,96,-,-,-,-,-,-,-,-,-,-
94,124,97,Yes,ALISON NICHOLS,Hoops,Alison Nichols,-,108,58,50,29,16,13,28,0,0,0,1,0.023,0.013,0.01,143,180,16,0,16,1.8,1,0.8,243,1,535,0,-,-,97,-,-,-,-,-,-,-,-,-,-
86,86,98,,CRAIG CAMPBELL,Summer Soundtrack,Grindstone,-,107,160,-53,30,45,-15,30,0,0,0,0,0.02,0.029,-0.009,156,129,15,0,15,2,3,-1,538,0,536,0,-,-,98,-,-,-,-,-,-,-,-,-,-
99,139,99,Yes,CHRIS LANE,Stop Coming Over,Big Loud,-,101,43,58,21,8,13,1,0,0,0,20,0.062,0.028,0.034,106,133,7,0,7,3,1.1,1.9,89,20,537,0,-,-,99,-,-,-,-,-,-,-,-,-,-
76,102,100,Yes,OLD DOMINION,Ain't Got A Worry,Columbia Nashville,-,101,101,0,13,13,0,6,1,0,0,6,0.065,0.083,-0.018,103,97,1,0,1,13,13,0,132,7,329,1,-,-,100,-,-,-,-,-,-,-,-,-,-
91,104,101,Yes,TAYLOR SWIFT,Mine (Taylor's Version),Republic,-,96,95,1,18,17,1,2,4,4,5,3,0.138,0.177,-0.039,86,79,6,1,6,2.6,2.4,0.1,95,16,179,13,87,285,101,-,-,-,-,-,-,-,-,-,-
69,90,102,,TAYLOR SWIFT,Mean (Taylor's Version),Republic,-,95,143,-48,20,29,-9,2,1,8,5,4,0.145,0.171,-0.026,85,82,8,1,8,1.3,1.8,-0.6,92,18,176,14,-,-,102,-,-,-,-,-,-,-,-,-,-
