PK,Rank,,,Artist,Title,Label,Wks On,Points,,,Spins,,,Dayparts,,,,,Impressions,,,,,Stations,,Avg. Station Rotations,,,,w/o OVN,,6am to 7pm,,Format By Format Rank,,,,,,,,,,,,
,LW,TW,,,,,,TW,LW,+/-,TW,LW,+/-,OVN,AMD,MID,PMD,EVE,TW,LW,+/-,rTW,rLW,On,New,On,TW,LW,+/-,Rank,TW,Rank,TW,AC,Hot AC,Country,Gospel,Top 40,Triple A,Active Rock,Alternative,Urban,R&B,Rhythmic,Dance,Big Picture
77,77,78,Yes,MEGAN MORONEY,No Caller ID,Columbia/Columbia Nash,-,307,246,61,84,52,32,33,3,15,11,22,0.228,0.193,0.035,78,73,4,0,4,16.8,10.4,6.4,78,51,149,29,-,-,78,-,-,-,-,-,-,-,-,-,-
71,75,79,,JAY ALLEN,No Present Like The Time,ONErpm/16camino,-,269,292,-23,100,108,-8,69,10,3,2,16,0.027,0.042,-0.015,135,105,18,0,18,5.3,5.7,-0.4,82,31,164,15,-,-,79,-,-,-,-,-,-,-,-,-,2978
71,72,80,,RED CLAY STRAYS,Wondering Why,HBYCO/Thirty Tigers,-,267,327,-60,37,48,-11,13,0,7,7,10,0.261,0.412,-0.151,76,62,2,0,2,7.4,9.6,-2.2,87,24,166,14,-,-,80,-,-,6,-,-,-,-,-,-,584
81,-,81,Yes,IAN MUNSICK,Heartbreak King,Warner/WEA,-,255,0,255,83,0,83,0,83,0,0,0,0.394,0,0.394,66,465,41,41,41,2,0,2,72,83,118,83,-,-,81,-,-,-,-,-,-,-,-,-,-
76,83,82,Yes,AUSTIN SNELL,Pray All The Way Home,River House/WMN,-,232,178,54,63,48,15,63,0,0,0,0,0.046,0.038,0.008,113,107,16,0,16,3.9,3,0.9,556,0,495,0,-,-,82,-,-,-,-,-,-,-,-,-,-
83,-,83,Yes,FALL OUT BOY,We Didn't Start The Fire,Fueled By Ramen/3EE,-,203,0,203,68,0,68,0,68,0,0,0,0.308,0,0.308,71,361,35,35,35,1.9,0,1.9,76,68,125,68,-,-,83,-,-,-,52,-,-,-,-,-,200
84,263,84,Yes,RUNAWAY JUNE,Fine Wine,Quartz Hill,-,182,7,175,50,2,48,0,2,0,0,48,0.088,0.009,0.079,91,183,50,50,50,1,0,0.9,79,50,235,2,-,-,84,-,-,-,-,-,-,-,-,-,-
85,224,85,Yes,ABBY ANDERSON,The Reason I Stay,Walk Off Entertainment,-,182,9,173,50,3,47,0,2,0,0,48,0.088,0.014,0.074,90,156,50,50,50,0.9,0.1,0.9,80,50,236,2,-,-,85,-,-,-,-,-,-,-,-,-,-
79,98,86,Yes,CALEB LEE HUTCHINSON,Silverado,Country Reborn,-,163,108,55,45,30,15,45,0,0,0,0,0.031,0.02,0.011,125,128,15,0,15,3,2,1,557,0,496,0,-,-,86,-,-,-,-,-,-,-,-,-,-
86,99,87,Yes,GUNNAR LATHAM,One Two Step,Major Bob Productions,-,163,108,55,45,30,15,45,0,0,0,0,0.031,0.02,0.011,126,131,15,0,15,3,2,1,560,0,497,0,-,-,87,-,-,-,-,-,-,-,-,-,-
82,86,88,Yes,TREY LEWIS,Always You,River House Artists,-,163,163,0,45,45,0,45,0,0,0,0,0.031,0.031,0,127,117,15,0,15,3,3,0,555,0,498,0,-,-,88,-,-,-,-,-,-,-,-,-,-
78,87,89,Yes,AUSTIN ENGLISH,Walk Away Slow,---,-,163,163,0,45,45,0,45,0,0,0,0,0.031,0.031,0,122,116,15,0,15,3,3,0,544,0,499,0,-,-,89,-,-,-,-,-,-,-,-,-,-
78,78,90,,MAE ESTES,Thinkin' 'Bout Cheatin',Big Machine,-,163,217,-54,45,60,-15,45,0,0,0,0,0.031,0.041,-0.01,123,106,15,0,15,3,4,-1,540,0,500,0,-,-,90,-,-,-,-,-,-,-,-,-,-
48,94,91,Yes,HANNAH ELLIS,Wine Country,Curb,2,161,121,40,40,38,2,14,5,3,2,16,0.029,0.019,0.01,132,133,11,7,11,3.1,2.9,0.2,85,26,179,10,-,-,91,-,-,-,-,-,-,-,-,-,-
90,91,92,Yes,ALLI WALKER,I Like Big Trucks,Alli Walker Music,-,141,133,8,17,16,1,10,0,0,1,6,0.063,0.052,0.011,103,98,1,0,1,17,16,1,124,7,283,1,-,-,92,-,-,-,-,-,-,-,-,-,-
10,90,93,Yes,KEITH URBAN,Brown Eyes Baby,Capitol Nashville,48,138,136,2,30,22,8,13,3,4,5,5,0.166,0.153,0.013,82,77,9,5,9,3,2.2,0.8,92,17,174,12,-,-,93,-,-,-,-,-,-,-,-,-,-
79,120,94,Yes,CHANCEY WILLIAMS,A Cowboy Who Would,Younger Brothers Records,-,108,54,54,30,15,15,30,0,0,0,0,0.02,0.01,0.01,150,180,15,0,15,2,1,1,561,0,501,0,-,-,94,-,-,-,-,-,-,-,-,-,-
84,97,95,Yes,CONNER SWEET,She's Gotta Know,Sweet Music,-,108,108,0,30,30,0,30,0,0,0,0,0.02,0.02,0,149,132,15,0,15,2,2,0,539,0,502,0,-,-,95,-,-,-,-,-,-,-,-,-,-
96,-,96,Yes,GRAHAM BARHAM,BAYOU BOY,Sony Music Nashville,-,102,0,102,13,0,13,5,0,1,0,7,0.053,0,0.053,109,289,2,2,2,6.5,0,6.5,116,8,284,1,-,-,96,-,-,-,-,-,-,-,-,-,-
84,111,97,Yes,ZACH BRYAN,Hey Driver f/The War & Treaty,Warner,-,100,77,23,44,31,13,18,2,8,4,12,0.071,0.075,-0.004,94,86,2,0,2,14.7,10.3,4.3,86,26,167,14,-,-,97,-,-,382,-,-,-,-,-,-,-
86,89,98,,WYATT FLORES,West Of Tulsa,Island,-,98,148,-50,14,20,-6,8,0,0,1,5,0.04,0.052,-0.012,115,97,2,0,2,7,10,-3,129,6,285,1,-,-,98,-,-,148,-,-,-,-,-,-,-
99,113,99,Yes,JESSIE MURPH & JELLY ROLL,Wild Ones,Columbia,-,95,72,23,43,31,12,12,1,6,7,17,0.086,0.062,0.024,92,91,3,0,3,10.8,7.8,3,83,31,168,14,-,123,99,-,99,-,-,-,-,-,73,-,2241
89,110,100,Yes,THE FRONTMEN,I Need You,BBR Music Group,-,94,78,16,15,13,2,7,1,2,1,4,0.089,0.047,0.042,89,100,2,0,2,7.5,6.5,1,118,8,202,4,-,-,100,-,-,-,-,-,-,-,-,-,-
90,102,101,Yes,WAYLAND,Way Back When,---,-,94,94,0,26,26,0,26,0,0,0,0,0.017,0.017,0,161,142,13,0,13,2,2,0,549,0,503,0,-,-,101,-,-,-,-,-,-,-,-,-,-
56,85,102,,LAUREN ALAINA,Thicc As Thieves,Big Loud,-,84,168,-84,56,82,-26,36,2,4,3,11,0.015,0.035,-0.02,166,110,7,0,7,3.7,5.5,-1.7,90,20,184,9,-,-,102,-,-,-,-,-,-,-,-,-,-
103,104,103,,ZACH BRYAN,Sarah's Place f/Noah Kahan,Warner,-,83,88,-5,16,17,-1,1,2,4,6,3,0.134,0.135,-0.001,83,78,1,0,1,16,17,-1,98,15,175,12,-,-,103,-,-,887,-,-,-,-,-,-,-
72,108,104,Yes,COLE SWINDELL,How Is She,Warner/WMN,-,81,81,0,15,15,0,4,2,4,5,0,0.12,0.12,0,86,81,1,0,1,15,15,0,104,11,176,11,-,-,104,-,-,-,-,-,-,-,-,-,-
35,105,105,,BRANTLEY GILBERT/BLAKE SHELTON,Heaven By Then f/Vince Gill,Valory Music Co.,36,81,87,-6,19,22,-3,10,2,4,1,2,0.075,0.072,0.003,93,87,3,0,3,6.3,7.3,-1,111,9,192,7,-,-,105,-,-,-,-,-,-,-,-,-,-
100,101,106,,LARRY FLEET,Things I Take For Granted,Big Loud,-,78,98,-20,33,39,-6,11,1,8,2,11,0.063,0.102,-0.039,101,82,5,1,5,5.5,6.5,-1,88,22,177,11,-,-,106,-,-,-,-,-,-,-,-,-,-
83,93,107,,DYLAN GOSSETT,Coal,Big Loud/Mercury/Republic,-,78,128,-50,9,23,-14,5,0,2,0,2,0.051,0.131,-0.08,112,79,2,0,2,0.6,1.5,-0.9,151,4,237,2,-,-,107,-,-,130,-,-,-,-,-,-,-
78,128,108,Yes,SHENANDOAH & LUKE COMBS,Two Dozen Roses,8 Track Entertainment,-,74,39,35,18,8,10,2,2,1,3,10,0.068,0.047,0.021,95,103,9,8,9,2,0.9,1.1,93,16,195,6,-,-,108,-,-,-,-,-,-,-,-,-,-
109,-,109,Yes,TIM DUGGER,Man Upstairs,Curb,-,69,0,69,14,0,14,3,0,3,1,7,0.064,0,0.064,100,350,1,1,1,14,0,14,105,11,203,4,-,-,109,-,-,-,-,-,-,-,-,-,-
87,103,110,,REDFERRIN,Jack And Diet Coke,Warner Music Nashville,-,68,90,-22,25,33,-8,9,0,5,3,8,0.066,0.101,-0.035,97,83,3,0,3,6.3,8.3,-2,96,16,186,8,-,-,110,-,-,-,-,-,-,-,-,-,-
91,124,111,Yes,TAYLOR SWIFT,Mine (Taylor's Version),Republic,-,67,43,24,11,11,0,0,3,4,3,1,0.121,0.071,0.05,85,88,4,0,4,2.2,2.2,0,107,11,180,10,48,284,111,-,-,-,-,-,-,-,-,-,-
98,106,112,,12/OC,Forever Bound,---,-,65,84,-19,24,31,-7,4,1,7,5,7,0.06,0.077,-0.017,104,85,1,0,1,24,31,-7,89,20,169,13,-,-,112,-,-,-,-,-,-,-,-,-,-
52,122,113,Yes,CODY JOHNSON,With You I Am,Cojo Music,-,62,47,15,9,8,1,1,3,4,1,0,0.104,0.057,0.047,87,93,3,1,3,2.3,2,0.3,115,8,187,8,-,-,113,-,-,-,-,-,-,-,-,-,-
114,210,114,Yes,TYLER BRADEN,Devil You Know,Warner Nashville/WAR,-,59,10,49,21,3,18,6,1,5,4,5,0.066,0.015,0.051,96,150,2,1,2,5.3,0.8,4.5,97,15,181,10,-,-,114,-,-,-,-,-,-,-,-,-,-
72,116,115,Yes,FLORIDA GEORGIA LINE,Colorado,BMLG,-,59,57,2,14,13,1,1,3,4,4,2,0.095,0.078,0.017,88,84,2,0,2,7,6.5,0.5,101,13,178,11,-,-,115,-,-,-,-,-,-,-,-,-,-
59,100,116,,JOSH ROSS,Trouble,Mercury Nashville,-,59,106,-47,24,40,-16,21,1,0,0,2,0.008,0.027,-0.019,218,120,6,0,6,3.4,5.7,-2.3,173,3,286,1,-,-,116,-,-,-,-,-,-,-,-,-,-
117,117,117,Yes,COREY KENT,This Heart,Combustion/RCA Nashville,-,57,56,1,19,20,-1,7,2,3,3,4,0.053,0.053,0,110,96,4,3,4,2.7,2.9,-0.1,103,12,188,8,-,-,117,-,-,-,-,-,-,-,-,-,-
118,200,118,Yes,BRYCE LEATHERWOOD,The Finger,Republic Nash./UMG Nash.,-,54,11,43,16,4,12,0,11,2,0,3,0.065,0.014,0.051,98,158,15,15,15,0.8,0.2,0.6,94,16,170,13,-,-,118,-,-,-,-,-,-,-,-,-,-
119,-,119,Yes,CHASE MATTHEW,Darlin',Warner Nashville/WAR,-,54,0,54,15,0,15,15,0,0,0,0,0.01,0,0.01,199,443,15,15,15,1,0,1,558,0,504,0,-,-,119,-,-,-,-,-,-,-,-,-,-
92,692,120,Yes,MORGAN WALLEN,Silverado For Sale,Big Loud/Republic,-,52,0,52,10,0,10,0,0,1,0,9,0.04,0,0.04,117,544,9,9,9,1.1,0,1.1,108,10,287,1,-,-,120,-,-,-,-,-,-,-,-,-,-
121,133,121,Yes,LAURA BRYNA,Certified,LTD Entertainment LLC,-,52,35,17,30,21,9,12,1,4,2,11,0.018,0.012,0.006,154,172,3,0,3,10,7,3,91,18,193,7,-,-,121,-,-,-,-,-,-,-,-,-,-
78,123,122,Yes,CHRIS STAPLETON,The Star-Spangled Banner,---,-,52,45,7,18,15,3,5,6,6,1,0,0.057,0.061,-0.004,108,92,18,12,18,0.7,0.6,0.1,102,13,171,13,-,-,122,-,221,-,-,-,-,-,-,-,-
123,-,123,Yes,RILEY GREEN,Damn Good Day To Leave,BMLG,-,52,0,52,13,0,13,2,4,3,1,3,0.058,0,0.058,106,377,5,5,5,2.6,0,2.6,106,11,189,8,-,-,123,-,-,-,-,-,-,-,-,-,-
99,112,124,,BRIAN KELLEY,"Trucks, Ducks, Bucks & Beer",Big Machine,-,51,77,-26,8,11,-3,1,4,1,0,2,0.02,0,0.02,147,420,2,1,2,4,5.5,-1.5,121,7,197,5,-,-,124,-,-,-,-,-,-,-,-,-,-
