PK,Rank,,,Artist,Title,Label,Wks On,Points,,,Spins,,,Dayparts,,,,,Impressions,,,,,Stations,,Avg. Station Rotations,,,,w/o OVN,,6am to 7pm,,Format By Format Rank,,,,,,,,,,,,
,LW,TW,,,,,,TW,LW,+/-,TW,LW,+/-,OVN,AMD,MID,PMD,EVE,TW,LW,+/-,rTW,rLW,On,New,On,TW,LW,+/-,Rank,TW,Rank,TW,AC,Hot AC,Country,Gospel,Top 40,Triple A,Active Rock,Alternative,Urban,R&B,Rhythmic,Dance,Big Picture
1,2,1,Yes,GEORGE BIRGE,Mind On You,RECORDS Nashville,41,29469,28690,779,8383,8118,265,2361,1189,1648,1323,1862,35.31,36.993,-1.683,1,2,157,0,157,53.4,51.7,1.7,1,6022,1,4160,-,-,1,-,693,-,-,-,-,-,-,-,27
1,1,2,,NATE SMITH,World On Fire,RCA Nashville,27,27305,31610,-4305,7740,8853,-1113,1935,1088,1701,1354,1662,35.298,41.132,-5.834,2,1,157,0,157,49.3,56.4,-7.1,2,5805,2,4143,-,-,2,-,483,-,-,-,-,-,-,-,30
3,4,3,,DAN + SHAY,Save Me The Trouble,Warner/WAR,25,24338,26749,-2411,7025,7644,-619,1785,1025,1444,1160,1611,30.445,33.782,-3.337,4,4,157,0,157,44.7,48.7,-3.9,3,5240,3,3629,-,-,3,-,276,-,-,-,-,-,-,-,34
1,3,4,,JELLY ROLL,Save Me (with Lainey Wilson),Stoney Creek/BMG,17,23654,27188,-3534,6653,7609,-956,1594,944,1464,1203,1448,31.08,36.659,-5.579,3,3,155,0,155,42.6,48.8,-6.1,4,5059,4,3611,204,431,4,-,73,-,-,-,-,-,356,-,37
5,5,5,,CHRIS STAPLETON,White Horse,Mercury Nashville,24,20183,22391,-2208,5819,6383,-564,1650,672,1233,977,1287,23.793,26.166,-2.373,5,5,157,0,157,37.1,40.7,-3.6,5,4169,5,2882,-,-,5,-,323,38,-,-,-,-,-,-,44
6,6,6,,RILEY GREEN,Different Round Here f/L.Combs,BMLG,32,18288,20738,-2450,5304,5930,-626,1555,518,1137,908,1186,21.232,23.218,-1.986,6,6,157,0,157,33.8,37.8,-4,6,3749,6,2563,-,-,6,-,627,-,-,-,-,-,-,-,50
7,7,7,,CHRIS JANSON,All I Need Is You,BMLG,43,17326,19318,-1992,4974,5494,-520,1541,528,1014,818,1073,19.714,21.221,-1.507,8,9,157,0,157,31.7,35,-3.3,8,3433,7,2360,-,-,7,-,630,-,-,-,-,-,-,-,54
8,8,8,,LUKE COMBS,Where The Wild Things Are,River House/Columbia Nash,11,16417,18278,-1861,4663,5163,-500,1212,542,989,805,1115,20.311,21.576,-1.265,7,8,157,0,157,29.7,32.9,-3.2,7,3451,8,2336,-,222,8,-,533,-,-,-,-,-,-,-,56
9,9,9,,WARREN ZEIDERS,Pretty Little Poison,Warner/WEA,23,15927,17493,-1566,4535,4939,-404,1315,520,930,712,1058,18.817,20.75,-1.933,9,10,151,0,151,29.4,32.1,-2.6,9,3220,9,2162,-,-,9,-,-,-,-,-,-,-,-,-,58
