PK,Rank,,,Artist,Title,Label,Wks On,Points,,,Spins,,,Dayparts,,,,,Impressions,,,,,Stations,,Avg. Station Rotations,,,,w/o OVN,,6am to 7pm,,Format By Format Rank,,,,,,,,,,,,
,LW,TW,,,,,,TW,LW,+/-,TW,LW,+/-,OVN,AMD,MID,PMD,EVE,TW,LW,+/-,rTW,rLW,On,New,On,TW,LW,+/-,Rank,TW,Rank,TW,AC,Hot AC,Country,Gospel,Top 40,Triple A,Active Rock,Alternative,Urban,R&B,Rhythmic,Dance,Big Picture
1,2,1,Yes,CHRIS STAPLETON,White Horse,Mercury Nashville,28,34095,29568,4527,9237,8220,1017,2581,1250,1872,1448,2086,38.614,34.918,3.696,2,2,157,0,157,58.8,52.4,6.5,1,6656,2,4570,-,-,1,-,317,-,-,-,-,-,-,-,22
1,1,2,,NATE SMITH,World On Fire,RCA Nashville,31,32492,35377,-2885,8550,9445,-895,2220,1278,1845,1471,1736,39.815,42.057,-2.242,1,1,157,0,157,54.5,60.2,-5.7,2,6330,1,4594,-,-,2,-,1009,-,-,-,-,-,-,-,27
3,4,3,Yes,RILEY GREEN,Different Round Here f/L.Combs,BMLG,36,25934,25559,375,7202,7081,121,2043,848,1547,1173,1591,28.554,28.039,0.515,5,3,157,0,157,45.9,45.1,0.8,3,5159,3,3568,-,-,3,-,728,-,-,-,-,-,-,-,37
4,6,4,Yes,WARREN ZEIDERS,Pretty Little Poison,Warner/WEA,27,25337,23580,1757,7033,6552,481,2036,835,1453,1090,1619,28.813,25.537,3.276,4,6,157,0,157,44.8,41.7,3.1,4,4997,5,3378,-,-,4,-,952,-,-,-,-,-,-,-,39
5,8,5,Yes,CODY JOHNSON,The Painter,CoJo/Warner/WMN,24,25072,22475,2597,6795,6067,728,2021,782,1444,1107,1441,29.263,27.215,2.048,3,4,157,0,157,43.3,38.6,4.6,5,4774,6,3333,-,-,5,-,586,-,-,-,-,-,-,-,40
6,7,6,Yes,CHRIS JANSON,All I Need Is You,BMLG,47,24752,22594,2158,6735,6100,635,2031,748,1342,1056,1558,26.336,24.215,2.121,6,7,157,0,157,42.9,38.9,4,6,4704,8,3146,-,-,6,-,336,-,-,-,-,-,-,-,41
5,5,7,Yes,LUKE COMBS,Where The Wild Things Are,River House/Columbia Nash,15,24332,23721,611,6623,6521,102,2015,746,1369,1093,1400,26.313,25.706,0.607,7,5,157,0,157,42.2,41.5,0.7,7,4608,7,3208,-,-,7,-,940,-,-,-,-,-,-,-,44
8,10,8,Yes,KANE BROWN,I Can Feel It,RCA Nashville,19,20735,20340,395,5531,5454,77,1589,585,1132,924,1301,23.145,23.069,0.076,8,8,157,0,157,35.2,34.7,0.5,9,3942,11,2641,-,-,8,-,1003,-,-,-,-,-,-,-,54
9,9,9,Yes,HARDY,TRUCK BED,Big Loud Rock/Big Loud,35,20447,20355,92,5688,5662,26,1511,633,1204,980,1360,23.02,22.806,0.214,9,9,157,0,157,36.2,36.1,0.2,8,4177,10,2817,-,-,9,-,637,-,-,-,-,-,-,-,51
10,12,10,Yes,CHAYCE BECKHAM,23,Wheelhouse,43,17518,17438,80,4806,4737,69,1578,493,905,709,1121,17.999,17.727,0.272,10,11,157,0,157,30.6,30.2,0.4,11,3228,16,2107,-,-,10,-,478,-,-,-,-,-,-,-,63
11,13,11,,CONNER SMITH,Creek Will Rise,Valory Music Co.,42,16252,16456,-204,4441,4473,-32,1459,409,837,643,1093,15.975,16.15,-0.175,13,12,157,0,157,28.3,28.5,-0.2,12,2982,19,1889,-,-,11,-,-,-,-,-,-,-,-,-,71
12,14,12,,PARKER MCCOLLUM,Burn It Down,MCA Nashville,30,16099,16254,-155,4264,4316,-52,1399,416,793,660,996,17.726,17.907,-0.181,12,10,157,1,157,27.2,27.5,-0.3,13,2865,20,1869,-,-,12,-,329,-,-,-,-,-,-,-,74
13,15,13,Yes,THOMAS RHETT,Mamaw's House f/Morgan Wallen,Valory/Big Loud,17,15719,13275,2444,4453,3733,720,1208,455,983,805,1002,17.852,14.654,3.198,11,13,155,3,155,28.7,24.1,4.6,10,3245,15,2243,-,-,13,-,1038,-,-,-,-,-,-,-,70
14,16,14,Yes,JACKSON DEAN,Fearless,Big Machine,51,12703,12510,193,3445,3403,42,1400,296,488,401,860,12.46,11.674,0.786,16,16,156,0,156,22.1,21.8,0.3,19,2045,33,1185,-,-,14,-,523,-,-,-,-,-,-,-,90
15,20,15,Yes,MORGAN WALLEN,Man Made A Bar f/Eric Church,Big Loud/EMI/Mercury,10,12514,10949,1565,3244,2843,401,956,401,567,481,839,13.888,12.381,1.507,14,14,155,0,155,20.8,18.2,2.6,14,2288,25,1449,-,-,15,-,1021,-,-,-,-,-,-,-,96
