PK,Rank,,,Artist,Title,Label,Wks On,Points,,,Spins,,,Dayparts,,,,,Impressions,,,,,Stations,,Avg. Station Rotations,,,,w/o OVN,,6am to 7pm,,Format By Format Rank,,,,,,,,,,,,
16,17,16,Yes,SCOTTY MCCREERY,Cab In A Solo,Triple Tigers,23,12327,12062,265,3406,3367,39,1146,333,575,485,867,12.489,12.123,0.366,15,15,157,0,157,21.7,21.4,0.2,15,2260,26,1393,-,-,16,-,-,-,-,-,-,-,-,-,91
17,18,17,Yes,JORDAN DAVIS,Tucson Too Late,MCA Nashville,22,12168,11349,819,3315,3048,267,1106,349,515,478,867,12.05,11.35,0.7,18,18,154,0,154,21.5,19.8,1.7,17,2209,30,1342,-,-,17,-,726,-,-,-,-,-,-,-,92
18,21,18,Yes,LAINEY WILSON,Wildflowers And Wild Horses,Broken Bow,10,11746,10818,928,3253,3047,206,1003,346,560,474,870,12.44,11.659,0.781,17,17,157,1,157,20.7,19.4,1.3,16,2250,28,1380,-,-,18,-,-,-,-,-,-,-,-,-,95
18,19,19,Yes,GABBY BARRETT,Glory Days,Warner/WAR,34,11184,11112,72,3134,3109,25,1079,285,497,419,854,10.481,10.678,-0.197,21,19,157,1,157,20,19.8,0.2,18,2055,32,1201,-,-,19,-,879,-,-,-,-,-,-,-,102
19,22,20,Yes,CARLY PEARCE,We Don't Fight...f/C.Stapleton,Big Machine,32,10881,10788,93,2985,2934,51,1073,274,488,383,767,10.569,10.63,-0.061,19,20,156,0,156,19.1,18.8,0.3,21,1912,35,1145,-,-,20,-,358,-,-,-,-,-,-,-,105
21,23,21,Yes,TYLER HUBBARD,Back Then Right Now,EMI Nashville,20,10457,9592,865,2944,2703,241,932,325,427,407,853,10.531,9.756,0.775,20,21,156,3,156,18.9,17.3,1.5,20,2012,34,1159,-,-,21,-,554,-,-,-,-,-,-,-,107
22,24,22,Yes,KENNY CHESNEY,Take Her Home,Warner Nashville/WEA,12,9226,8816,410,2484,2346,138,825,262,344,284,769,9.042,8.839,0.203,23,22,156,1,156,15.8,14.9,0.9,22,1659,40,890,-,-,22,-,-,-,-,-,-,-,-,-,121
23,25,23,Yes,CARRIE UNDERWOOD,Out Of That Truck,Capitol Nashville,32,8983,8621,362,2342,2258,84,900,206,333,304,599,9.18,8.401,0.779,22,23,149,1,149,15.7,15.2,0.6,24,1442,42,843,-,-,23,-,759,-,-,-,-,-,-,-,129
24,28,24,Yes,OLD DOMINION,Can't Break Up Now f/M.Moroney,Columbia Nashville,17,7685,7237,448,2107,1980,127,819,152,260,225,651,7.256,7.127,0.129,25,24,156,2,156,13.5,12.7,0.8,26,1288,52,637,-,-,24,-,973,-,-,-,-,-,-,-,142
25,27,25,Yes,MEGAN MORONEY,I'm Not Pretty,Columbia/Columbia Nash,23,7408,7327,81,2017,1993,24,717,145,257,227,671,6.454,6.093,0.361,27,27,154,5,154,13.1,12.9,0.2,25,1300,53,629,-,-,25,-,725,-,-,-,-,-,-,-,152
26,30,26,Yes,ASHLEY COOKE,your place,Big Loud,6,7330,6643,687,2048,1842,206,555,152,420,332,589,7.549,6.276,1.273,24,26,137,8,137,14.3,12.9,1.4,23,1493,39,904,-,-,26,-,639,-,-,-,-,-,-,-,149
27,29,27,,ZACH BRYAN,I Remember... f/K. Musgraves,Warner/WAR,20,6775,7057,-282,1893,2003,-110,673,181,295,239,505,5.309,5.822,-0.513,31,28,146,3,146,12.9,13.6,-0.7,27,1220,47,715,128,21,27,-,29,20,-,-,-,-,1437,339,69
28,31,28,Yes,SAM HUNT,Outskirts,MCA Nashville,24,6756,6466,290,1818,1752,66,678,113,233,194,600,6.852,6.372,0.48,26,25,148,5,148,12.3,11.8,0.4,28,1140,61,540,-,-,28,-,822,-,-,-,-,-,-,-,166
29,33,29,Yes,JASON ALDEAN,Let Your Boys Be Country,Macon Music/Broken Bow,8,6256,5413,843,1643,1418,225,607,92,307,259,378,6.139,5.612,0.527,28,29,139,16,139,11.7,10.1,1.6,29,1036,50,658,-,-,29,-,-,-,-,-,-,-,-,-,183
30,32,30,Yes,CHASE MATTHEW,Love You Again,Warner/WAR,21,5882,5695,187,1644,1613,31,664,105,199,193,483,4.146,4.069,0.077,34,33,142,3,142,11.6,11.4,0.2,30,980,64,497,-,-,30,-,-,-,-,-,-,-,-,-,182
31,34,31,Yes,BAILEY ZIMMERMAN,Where It Ends,Warner/WEA/Elektra,15,5685,5052,633,1511,1336,175,551,128,218,192,422,5.511,5.212,0.299,29,30,125,16,125,12,10.6,1.4,31,960,62,538,-,-,31,-,931,-,-,-,-,-,-,-,207
32,39,32,Yes,BRYAN MARTIN,We Ride,Avg Joes/New Revolution,14,5011,4334,677,1267,1126,141,567,84,172,148,296,3.97,3.385,0.585,35,35,97,13,97,13.1,11.6,1.5,35,700,67,404,-,-,32,-,801,-,-,-,-,-,-,-,249
30,36,33,Yes,GARTH BROOKS & RONNIE DUNN,Rodeo Man,Big Machine,12,4945,4509,436,1389,1241,148,653,55,80,93,508,2.337,2.242,0.095,40,40,149,1,149,9.3,8.3,1,33,736,91,228,-,-,33,-,572,-,-,-,-,-,-,-,227
34,35,34,Yes,DILLON CARMICHAEL,Drinkin' Problems,Riser House,26,4857,4851,6,1436,1421,15,676,78,137,134,411,2.431,2.572,-0.141,39,37,144,3,144,10,9.9,0.1,32,760,73,349,-,-,34,-,-,-,-,-,-,-,-,-,217
35,37,35,Yes,CHRIS YOUNG,Young Love & Saturday Nights,RCA Nashville,16,4602,4508,94,1156,1146,10,428,94,170,153,311,5.459,4.808,0.651,30,31,110,16,110,10.4,10.3,0.1,34,728,66,417,-,-,35,-,901,-,-,-,-,-,-,-,281
36,38,36,Yes,JON PARDI & LUKE BRYAN,Cowboys And Plowboys,Capitol Nashville,15,4451,4347,104,1097,1051,46,507,65,130,99,296,4.574,4.146,0.428,32,32,111,2,111,9.9,9.5,0.4,38,590,80,294,-,-,36,-,-,-,-,-,-,-,-,-,305
37,40,37,Yes,MICHAEL RAY,Spirits And Demons f/M.Patrick,Warner/WEA/Riser House,16,4311,4305,6,1092,1090,2,500,56,104,79,353,2.537,2.507,0.03,38,38,112,0,112,9.7,9.6,0,37,592,87,239,-,-,37,-,-,-,-,-,-,-,-,-,307
38,54,38,Yes,JELLY ROLL,Halfway To Hell,Stoney Creek/BMG,1,3907,1609,2298,980,409,571,369,55,174,131,251,4.203,2.484,1.719,33,39,106,53,106,9.1,3.8,5.3,36,611,72,360,-,-,38,-,-,-,-,-,-,-,-,-,353
39,42,39,Yes,PARMALEE,Gonna Love You,Stoney Creek,10,3495,3401,94,1074,1050,24,504,58,145,118,249,2.315,2.156,0.159,41,41,93,5,93,11.4,11.2,0.3,39,570,77,321,-,-,39,-,964,-,-,-,-,-,-,-,314
39,43,40,Yes,JUSTIN MOORE,This Is My Dirt,Valory Music Co.,9,3366,3141,225,973,909,64,481,63,94,82,253,2.877,2.908,-0.031,37,36,106,5,106,8.9,8.3,0.6,40,492,88,239,-,-,40,-,692,-,-,-,-,-,-,-,354
41,41,41,,COREY KENT,Something's Gonna Kill Me,Combustion/RCA Nashville,20,3338,3670,-332,900,959,-59,445,47,91,77,240,3.119,3.542,-0.423,36,34,83,1,83,10.7,11.4,-0.7,41,455,92,215,-,-,41,-,-,-,-,-,-,-,-,-,385
42,44,42,Yes,BRETT YOUNG,Dance With You,BMLG,12,3076,2920,156,881,839,42,475,36,93,69,208,1.638,1.547,0.091,43,43,92,4,92,9.6,9.1,0.5,43,406,96,198,-,-,42,-,897,-,-,-,-,-,-,-,397
43,45,43,Yes,LADY A,Love You Back,BMLG,6,2682,2731,-49,740,734,6,366,19,39,30,286,1.124,1.345,-0.221,48,47,101,3,101,7.3,7.2,0.1,46,374,113,88,-,-,43,-,-,-,-,-,-,-,-,-,487
44,46,44,Yes,ZACH TOP,Sounds Like The Radio,Leo33,2,2648,2571,77,759,712,47,380,45,88,77,169,1.565,1.441,0.124,44,44,82,3,82,5.9,5.5,0.4,45,379,93,210,-,-,44,-,-,-,-,-,-,-,-,-,470
45,47,45,Yes,CHRIS LANE,Find Another Bar,Red Street,5,2635,2460,175,744,689,55,395,25,62,57,205,1.73,1.551,0.179,42,42,90,14,90,8,7.4,0.6,47,349,103,144,-,-,45,-,-,-,-,-,-,-,-,-,482
46,49,46,Yes,TYLER CHILDERS,In Your Love,Hickman Holler/RCA,4,2622,2277,345,837,743,94,409,37,86,72,233,1.394,1.138,0.256,46,48,84,10,84,9.7,8.6,1.1,42,428,97,195,-,-,46,-,-,-,-,158,-,-,-,-,334
47,48,47,Yes,DUSTIN LYNCH,Chevrolet f/Jelly Roll,Broken Bow,3,2485,2294,191,729,698,31,341,54,107,80,147,1.541,1.359,0.182,45,46,75,8,75,9.5,9.1,0.4,44,388,86,241,-,-,47,-,837,-,-,-,-,-,-,-,499
48,50,48,Yes,JOE NICHOLS,Brokenhearted,Quartz Hill,3,2239,2189,50,670,670,0,385,27,47,53,158,0.92,0.814,0.106,49,50,72,2,72,9.2,9.2,0,49,285,106,127,-,-,48,-,-,-,-,-,-,-,-,-,548
49,51,49,Yes,DREW BALDRIDGE,She's Somebody's Daughter,Lyric Ridge,1,2006,1806,200,685,620,65,354,27,70,56,178,0.837,0.725,0.112,50,52,78,4,78,8.7,7.8,0.8,48,331,101,153,-,-,49,-,-,-,-,-,-,-,-,-,537
50,52,50,Yes,HUNTERGIRL,Ain't About You,Wheelhouse,1,1886,1790,96,586,537,49,335,23,39,41,148,0.747,0.726,0.021,53,51,80,5,80,7.3,6.7,0.6,50,251,110,103,-,-,50,-,751,-,-,-,-,-,-,-,666
51,67,51,Yes,TIM MCGRAW,One Bad Habit,Big Machine,-,1834,677,1157,477,157,320,259,16,35,23,144,0.764,0.259,0.505,51,66,71,50,71,6.7,2.2,4.5,52,218,118,74,-,-,51,-,-,-,-,-,-,-,-,-,859
52,53,52,,HAILEY WHITTERS,I'm In Love,Big Loud,-,1750,1785,-35,487,494,-7,296,16,30,33,112,0.764,0.847,-0.083,52,49,69,5,69,6.9,7,-0.1,54,191,116,79,-,-,52,-,-,-,-,-,-,-,-,-,839
52,55,53,,TOBY KEITH,Don't Let The Old Man In,Show Dog/BMLGR,-,1473,1535,-62,446,465,-19,302,11,20,10,103,0.411,0.479,-0.068,62,57,71,1,71,5.6,5.9,-0.2,59,144,133,41,-,-,53,-,-,-,-,-,-,-,-,-,928
53,58,54,,HIXTAPE,Pickup Man f/Post Malone ...,Big Loud/Mercury/Republic,-,1469,1493,-24,355,368,-13,113,18,49,41,134,1.354,1.391,-0.037,47,45,68,3,68,4.9,5,-0.2,51,242,109,108,-,-,54,-,-,-,-,-,-,-,-,-,1171
55,57,55,,DYLAN MARLOWE & DYLAN SCOTT,Boys Back Home,Columbia Nash/Curb/PIA,-,1440,1514,-74,418,424,-6,258,15,30,24,91,0.612,0.627,-0.015,55,53,61,7,61,6.3,6.4,-0.1,57,160,120,69,-,-,55,-,916,-,-,-,-,-,-,-,986
56,56,56,,MATT STELL,Breakin' In Boots,RECORDS Nashville,-,1429,1529,-100,473,487,-14,271,24,30,30,118,0.574,0.572,0.002,57,56,69,3,69,6.9,7.1,-0.2,53,202,115,84,-,-,56,-,766,-,-,-,-,-,-,-,866
57,59,57,Yes,RYAN LARKINS,King Of Country Music,Red Street,-,1346,1213,133,384,350,34,246,10,27,22,79,0.535,0.419,0.116,58,58,57,4,57,6.7,6.1,0.6,61,138,125,59,-,-,57,-,-,-,-,-,-,-,-,-,1082
58,61,58,Yes,NEON UNION,This Side Of The Dirt,Red Street,-,1229,1184,45,376,370,6,244,9,21,15,87,0.408,0.372,0.036,63,60,49,2,49,7.7,7.6,0.1,62,132,129,45,-,-,58,-,-,-,-,-,-,-,-,-,1106
59,62,59,Yes,RUNAWAY JUNE,Make Me Wanna Smoke,Quartz Hill,-,1182,1137,45,378,357,21,235,12,24,28,79,0.43,0.411,0.019,61,59,45,2,45,8.2,7.8,0.5,60,143,122,64,-,-,59,-,-,-,-,-,-,-,-,-,1101
58,60,60,,IAN MUNSICK,Long Live Cowgirls,Warner/WEA,-,1174,1188,-14,320,333,-13,135,13,28,26,118,0.578,0.587,-0.009,56,54,39,3,39,8,8.3,-0.3,55,185,121,67,-,-,60,-,-,-,-,-,-,-,-,-,1278
60,63,61,,RANDY HOUSER,Cancel,Magnolia Music,-,1100,1114,-14,348,359,-11,237,8,13,11,79,0.314,0.289,0.025,68,63,46,0,46,7.6,7.8,-0.2,63,111,143,32,-,-,61,-,-,-,-,-,-,-,-,-,1194
62,73,62,Yes,TIGIRLILY GOLD,I Tried A Ring On,Monument,-,938,328,610,280,77,203,118,34,15,14,99,0.442,0.089,0.353,60,82,87,76,87,3.1,0.9,2.3,56,162,123,63,-,-,62,-,-,-,-,-,-,-,-,-,1459
63,65,63,Yes,ANNE WILSON,Rain In The Rearview,Sparrow/EMI Nashville,-,905,838,67,295,276,19,192,11,13,19,60,0.274,0.241,0.033,69,68,41,5,41,7.2,6.7,0.5,65,103,132,43,-,-,63,-,-,-,-,-,-,-,-,-,1386
64,66,64,,MADDIE & TAE,Heart They Didn't Break,Mercury Nashville,-,792,812,-20,255,270,-15,150,10,19,15,61,0.319,0.328,-0.009,67,61,34,2,34,7.3,7.7,-0.4,64,105,130,44,-,-,64,-,-,-,-,-,-,-,-,-,1559
65,68,65,Yes,CAROLINE JONES/ZAC BROWN BAND,Million Little Bandaids,True To The Song,-,716,604,112,275,236,39,128,9,17,22,99,0.195,0.144,0.051,70,75,37,5,37,7.4,6.4,1.1,58,147,127,48,-,-,65,-,-,-,-,-,-,-,-,-,1476
66,70,66,Yes,KELSEY HART,Life With You,Curb,-,606,561,45,225,188,37,143,17,11,11,43,0.152,0.084,0.068,78,85,38,13,38,5.8,4.8,0.9,66,82,134,39,-,-,66,-,-,-,-,-,-,-,-,-,1714
67,69,67,Yes,ANNIE BOSKO,Neon Baby,Stone Country,-,586,569,17,183,177,6,109,5,14,18,37,0.194,0.198,-0.004,71,71,30,3,30,6.1,5.9,0.2,67,74,138,37,-,-,67,-,-,-,-,-,-,-,-,-,2013
56,64,68,,LAUREN ALAINA,Thicc As Thieves,Big Loud,-,483,919,-436,156,269,-113,110,2,12,6,26,0.145,0.296,-0.151,79,62,31,3,31,3.5,6,-2.5,73,46,157,20,-,-,68,-,-,-,-,-,-,-,-,-,2240
69,72,69,,CODY JOHNSON,Dirt Cheap,CoJo/Warner/WMN,-,395,431,-36,70,80,-10,18,11,12,13,16,0.518,0.574,-0.056,59,55,7,0,7,4.1,4.7,-0.6,70,52,139,36,-,-,69,-,-,-,-,-,-,-,-,-,-
48,71,70,,HANNAH ELLIS,Wine Country,Curb,2,369,509,-140,89,145,-56,32,7,6,5,39,0.162,0.252,-0.09,76,67,15,1,15,3.2,5.2,-2,69,57,159,18,-,-,70,-,-,-,-,-,-,-,-,-,-
71,74,71,,JAY ALLEN,No Present Like The Time,ONErpm/16camino,-,315,322,-7,113,120,-7,75,7,3,5,23,0.042,0.04,0.002,112,102,19,0,19,5.9,6.3,-0.4,74,38,163,15,-,-,71,-,-,-,-,-,-,-,-,-,2779
72,123,72,Yes,CODY JINKS,Outlaws And Mustangs,Late August/The Orchard,-,265,47,218,48,14,34,15,4,6,9,14,0.075,0.02,0.055,94,127,5,3,5,8,2.3,5.7,76,33,158,19,-,-,72,-,-,-,-,-,-,-,-,-,-
69,78,73,Yes,TAYLOR SWIFT,Mean (Taylor's Version),Republic,-,261,194,67,49,38,11,18,3,19,6,3,0.35,0.287,0.063,66,64,21,8,21,2.3,1.8,0.5,80,31,147,28,-,-,73,-,-,-,-,-,-,-,-,-,-
74,-,74,Yes,MORGAN WALLEN,Spin You Around (2024),Big Loud/Mercury,-,236,0,236,68,0,68,1,20,17,23,7,0.37,0,0.37,64,545,28,28,28,2.4,0,2.4,68,67,124,60,-,-,74,-,-,-,-,-,-,-,-,-,-
75,93,75,Yes,RED CLAY STRAYS,Wondering Why,HBYCO/Thirty Tigers,-,229,145,84,35,23,12,3,0,13,9,10,0.35,0.27,0.08,65,65,3,2,3,11.7,7.7,4,78,32,153,22,-,-,75,-,-,15,-,-,-,-,-,-,914
76,86,76,Yes,AUSTIN SNELL,Pray All The Way Home,River House/WMN,-,222,163,59,61,45,16,60,0,0,0,1,0.043,0.031,0.012,111,111,15,0,15,4.1,3,1.1,275,1,499,0,-,-,76,-,-,-,-,-,-,-,-,-,-
77,260,77,Yes,RESTLESS ROAD,Last Rodeo,RCA Nashville,-,188,5,183,61,1,60,32,2,0,3,24,0.074,0.008,0.066,95,178,9,8,9,6.8,0.1,6.7,82,29,201,5,-,-,77,-,-,-,-,-,-,-,-,-,-
78,-,78,Yes,BRITTNEY SPENCER,Night In,Elektra/3EE,-,183,0,183,50,0,50,0,2,0,1,47,0.094,0,0.094,87,512,49,49,49,1,0,1,71,50,224,3,-,-,78,-,-,-,-,-,-,-,-,-,-
79,240,79,Yes,MEGAN MORONEY,What Are You Listening To?,Columbia/Columbia Nash,-,182,7,175,50,2,48,0,2,0,0,48,0.088,0.009,0.079,89,172,50,50,50,1,0,0.9,72,50,240,2,-,-,79,-,-,-,-,-,-,-,-,-,-
80,84,80,Yes,CHANCEY WILLIAMS,A Cowboy Who Would,Younger Brothers Records,-,169,163,6,48,45,3,45,3,0,0,0,0.041,0.031,0.01,115,112,18,3,18,2.7,2.5,0.2,171,3,225,3,-,-,80,-,905,-,-,-,-,-,-,-,-
59,75,81,,JOSH ROSS,Trouble,Mercury Nashville,-,168,314,-146,59,89,-30,43,1,3,0,12,0.045,0.068,-0.023,110,94,12,2,12,3.7,5.6,-1.9,90,16,210,4,-,-,81,-,-,-,-,-,-,-,-,-,-
82,87,82,Yes,TREY LEWIS,Always You,River House Artists,-,164,161,3,46,44,2,46,0,0,0,0,0.031,0.03,0.001,126,113,15,0,15,3.1,2.9,0.1,557,0,500,0,-,-,82,-,-,-,-,-,-,-,-,-,-
77,77,83,,RANDALL FOWLER,Two Woman Man,Reviver,-,163,217,-54,45,60,-15,45,0,0,0,0,0.031,0.041,-0.01,124,101,15,0,15,3,4,-1,536,0,501,0,-,-,83,-,-,-,-,-,-,-,-,-,-
84,101,84,Yes,CONNER SWEET,She's Gotta Know,Sweet Music,-,162,108,54,44,30,14,44,0,0,0,0,0.031,0.02,0.011,127,129,15,0,15,2.9,2,0.9,529,0,502,0,-,-,84,-,-,-,-,-,-,-,-,-,-
79,102,85,Yes,CALEB LEE HUTCHINSON,Silverado,Country Reborn,-,162,108,54,44,30,14,44,0,0,0,0,0.031,0.02,0.011,125,126,15,0,15,2.9,2,0.9,559,0,503,0,-,-,85,-,-,-,-,-,-,-,-,-,-
86,90,86,Yes,WYATT FLORES,West Of Tulsa,Island,-,150,156,-6,21,21,0,10,0,0,0,11,0.057,0.077,-0.02,103,89,2,0,2,10.5,10.5,0,102,11,504,0,-,-,86,-,-,209,-,-,-,-,-,-,-
87,95,87,Yes,REDFERRIN,Jack And Diet Coke,Warner Music Nashville,-,149,135,14,42,43,-1,12,0,6,4,20,0.122,0.124,-0.002,82,77,12,3,12,2.8,2.9,-0.1,81,30,173,10,-,-,87,-,-,-,-,-,-,-,-,-,-
72,89,88,,COLE SWINDELL,How Is She,Warner/WMN,-,146,157,-11,27,29,-2,7,4,6,5,5,0.179,0.181,-0.002,72,72,1,0,1,27,29,-2,87,20,164,15,-,-,88,-,-,-,-,-,-,-,-,-,-
89,109,89,Yes,THE FRONTMEN,I Need You,BBR Music Group,-,142,91,51,22,15,7,13,0,0,2,7,0.083,0.053,0.03,91,96,3,1,3,7.3,5,2.3,113,9,241,2,-,-,89,-,-,-,-,-,-,-,-,-,-
83,96,90,Yes,DYLAN GOSSETT,Coal,Big Loud/Mercury/Republic,-,141,125,16,17,15,2,9,0,0,2,6,0.078,0.037,0.041,93,103,1,0,1,17,15,2,118,8,242,2,-,-,90,-,-,59,-,-,-,-,-,-,-
54,91,91,,THOMPSON SQUARE,Without You,Quartz Hill,-,140,156,-16,23,25,-2,11,1,3,5,3,0.132,0.118,0.014,80,78,3,0,3,5.8,6.3,-0.5,99,12,178,9,-,-,91,-,-,-,-,-,-,-,-,-,-
10,98,92,Yes,KEITH URBAN,Brown Eyes Baby,Capitol Nashville,48,139,121,18,21,17,4,5,3,6,3,4,0.175,0.161,0.014,73,73,4,2,4,5.3,4.3,1,89,16,168,12,-,-,92,-,-,-,-,-,-,-,-,-,-
93,114,93,Yes,NATE SMITH,Heart Shaped Box,RCA Nashville,-,130,74,56,36,22,14,0,29,1,0,6,0.159,0.116,0.043,77,80,35,34,35,0.6,0.4,0.3,75,36,146,30,-,-,93,-,-,-,-,-,-,-,-,-,-
94,99,94,Yes,ALLI WALKER,I Like Big Trucks,Alli Walker Music,-,125,116,9,15,14,1,10,0,0,0,5,0.042,0.045,-0.003,114,100,1,0,1,15,14,1,148,5,505,0,-,-,94,-,-,-,-,-,-,-,-,-,-
35,108,95,Yes,BRANTLEY GILBERT/BLAKE SHELTON,Heaven By Then f/Vince Gill,Valory Music Co.,36,120,96,24,31,24,7,12,10,1,2,6,0.089,0.087,0.002,88,83,12,8,12,2.6,2,0.6,88,19,167,13,-,-,95,-,-,-,-,-,-,-,-,-,-
96,103,96,Yes,NATE SMITH,Chasing Cars,RCA Nashville,-,115,107,8,32,30,2,0,8,19,0,5,0.173,0.126,0.047,74,76,32,25,32,0.6,0.6,0,77,32,149,27,-,-,96,-,-,-,-,-,-,-,-,-,-
95,147,97,Yes,DAN + SHAY,Bigger Houses,Warner/WAR,-,114,32,82,37,11,26,16,4,4,6,7,0.11,0.026,0.084,84,117,10,8,10,2.8,0.8,2,85,21,166,14,-,-,97,-,-,-,-,-,-,-,-,-,-
98,-,98,Yes,JOHNNY CLAWSON,Too Soon To Tell,---,-,111,0,111,31,0,31,0,10,16,0,5,0.165,0,0.165,75,347,31,31,31,1,0,1,79,31,150,26,-,-,98,-,-,-,-,-,-,-,-,-,-
90,94,99,,WAYLAND,Way Back When,---,-,95,143,-48,27,40,-13,27,0,0,0,0,0.017,0.026,-0.009,156,119,13,0,13,2.1,3.1,-1,553,0,506,0,-,-,99,-,-,-,-,-,-,-,-,-,-
100,106,100,Yes,BRIAN KELLEY,"Trucks, Ducks, Bucks & Beer",Big Machine,-,94,99,-5,15,15,0,3,2,3,3,4,0.018,0.013,0.005,151,153,4,3,4,2.5,2.5,0,100,12,182,8,-,-,100,-,-,-,-,-,-,-,-,-,-
77,838,101,Yes,GEORGE BIRGE,Cowboy Songs,RECORDS Nashville,-,87,0,87,25,0,25,0,18,0,0,7,0.107,0,0.107,86,316,22,22,22,1.1,0,1.1,83,25,160,18,-,-,101,-,-,-,-,-,-,-,-,-,-
102,107,102,,COLE SWINDELL,3 Feet Tall,Warner/WMN,-,84,99,-15,11,13,-2,5,0,0,0,6,0.053,0.086,-0.033,107,84,1,0,1,11,13,-2,130,6,507,0,-,-,102,-,-,-,-,-,-,-,-,-,-
